tier,case_id,model_full,model,status,judge_status,rc,lf,gf,total,num_tool_calls,prompt_tokens,completion_tokens,tokens,cost_estimated_usd,cost_reported_usd,cost_source,elapsed_s
1,crashbench-abo2,openrouter/anthropic/claude-sonnet-4.5,claude-sonnet-4.5,ok,,0,0,0,0,7,25921,1824,27745,0.0,0.05235150000000001,unknown,284.7451124191284
1,crashbench-abo2,openrouter/google/gemini-3.1-flash-lite-preview,gemini-3.1-FL,ok,,0,0,0,0,2,3669,327,3996,0.0,0.00140775,unknown,13.365552186965942
1,crashbench-abo2,openrouter/openai/gpt-5.5,gpt-5.5,ok,,0,0,0,0,3,8163,1486,9649,0.0,0.0,unknown,45.59424543380737
1,crashbench-abo2,openrouter/qwen/qwen3-30b-a3b-instruct-2507,qwen-30B,ok,,0,0,0,0,5,10752,747,11499,0.0,0.0,unknown,11.718242168426514
2,crashbench-abo2,openrouter/anthropic/claude-sonnet-4.5,claude-sonnet-4.5,ok,,0,0,0,0,8,33207,1585,34792,0.0,0.123396,unknown,56.54796099662781
2,crashbench-abo2,openrouter/google/gemini-3.1-flash-lite-preview,gemini-3.1-FL,ok,no_prose_synthesis,0,0,0,0,3,5917,98,6015,0.0,0.00162625,unknown,3.7910993099212646
2,crashbench-abo2,openrouter/openai/gpt-5.5,gpt-5.5,ok,,0,0,0,0,5,11507,1012,12519,0.0,0.0,unknown,57.89799356460571
2,crashbench-abo2,openrouter/qwen/qwen3-30b-a3b-instruct-2507,qwen-30B,ok,,0,0,0,0,4,10266,793,11059,0.0,0.0,unknown,131.87866854667664
3,crashbench-abo2,openrouter/anthropic/claude-sonnet-4.5,claude-sonnet-4.5,ok,,0,0,0,0,11,0,0,0,0.0,0.0,unknown,0.0
3,crashbench-abo2,openrouter/google/gemini-3.1-flash-lite-preview,gemini-3.1-FL,ok,,0,0,0,0,20,2654,427,3081,0.0,0.0208565,unknown,21.549887895584106
3,crashbench-abo2,openrouter/nvidia/nemotron-3-nano-30b-a3b,nemotron-30B,ok,,0,0,0,0,0,0,0,0,0.0,0.0,unknown,0.0
3,crashbench-abo2,openrouter/openai/gpt-5.5,gpt-5.5,ok,,0,0,0,0,19,7301,1810,9111,0.0,1.0796350000000001,unknown,157.67634272575378
3,crashbench-abo2,openrouter/qwen/qwen3-30b-a3b-instruct-2507,qwen-30B,ok,,0,0,0,0,7,4406,977,5383,0.0,0.0,unknown,23.97683334350586
1,crashbench-abo3,openrouter/anthropic/claude-sonnet-4.5,claude-sonnet-4.5,ok,,0,0,0,0,7,25991,1788,27779,0.0,0.0518811,unknown,264.5466685295105
1,crashbench-abo3,openrouter/google/gemini-3.1-flash-lite-preview,gemini-3.1-FL,ok,,0,0,0,0,2,3694,360,4054,0.0,0.0014635,unknown,7.181190252304077
2,crashbench-abo3,openrouter/google/gemini-3.1-flash-lite-preview,gemini-3.1-FL,ok,no_prose_synthesis,0,0,0,0,4,9768,250,10018,0.0,0.002817,unknown,4.593887805938721
2,crashbench-abo3,openrouter/openai/gpt-5.5,gpt-5.5,ok,,0,0,0,0,5,13562,1056,14618,0.0,0.0,unknown,28.885483264923096
2,crashbench-abo3,openrouter/qwen/qwen3-30b-a3b-instruct-2507,qwen-30B,ok,,0,0,0,0,4,10494,850,11344,0.0,0.0,unknown,20.887747526168823
3,crashbench-abo3,openrouter/anthropic/claude-sonnet-4.5,claude-sonnet-4.5,ok,,0,0,0,0,21,7102,1446,8548,0.0,0.0,unknown,104.52912425994873
3,crashbench-abo3,openrouter/google/gemini-3.1-flash-lite-preview,gemini-3.1-FL,ok,,0,0,0,0,30,12496,595,13091,0.0,0.1326735,unknown,44.28643226623535
3,crashbench-abo3,openrouter/nvidia/nemotron-3-nano-30b-a3b,nemotron-30B,ok,,0,0,0,0,0,0,0,0,0.0,0.0,unknown,0.0
3,crashbench-abo3,openrouter/openai/gpt-5.5,gpt-5.5,ok,no_prose_synthesis,0,0,0,0,10,0,0,0,0.0,0.0,unknown,0.0
3,crashbench-abo3,openrouter/qwen/qwen3-30b-a3b-instruct-2507,qwen-30B,ok,,0,0,0,0,4,3539,25,3564,0.0,0.0,unknown,40.56927180290222
1,crashbench-abo5,openrouter/anthropic/claude-sonnet-4.5,claude-sonnet-4.5,ok,,0,0,0,0,9,34416,2758,37174,0.0,0.0845592,unknown,73.93887162208557
1,crashbench-abo5,openrouter/google/gemini-3.1-flash-lite-preview,gemini-3.1-FL,ok,,0,0,0,0,2,4190,479,4669,0.0,0.0017659999999999998,unknown,8.183544874191284
1,crashbench-abo5,openrouter/openai/gpt-5.5,gpt-5.5,ok,,0,0,0,0,6,13897,2001,15898,0.0,0.0,unknown,43.962958574295044
2,crashbench-abo5,openrouter/anthropic/claude-sonnet-4.5,claude-sonnet-4.5,ok,,0,0,0,0,11,43232,2293,45525,0.0,0.164091,unknown,118.6290271282196
2,crashbench-abo5,openrouter/google/gemini-3.1-flash-lite-preview,gemini-3.1-FL,ok,no_prose_synthesis,0,0,0,0,4,10375,331,10706,0.0,0.00309025,unknown,4.435348987579346
2,crashbench-abo5,openrouter/openai/gpt-5.5,gpt-5.5,ok,,0,0,0,0,5,14046,1534,15580,0.0,0.0,unknown,44.596206188201904
3,crashbench-abo5,openrouter/anthropic/claude-sonnet-4.5,claude-sonnet-4.5,ok,,0,0,0,0,9,0,0,0,0.0,0.0,unknown,0.0
3,crashbench-abo5,openrouter/google/gemini-3.1-flash-lite-preview,gemini-3.1-FL,ok,,0,0,0,0,19,6162,422,6584,0.0,0.036858999999999996,unknown,50.97090435028076
3,crashbench-abo5,openrouter/nvidia/nemotron-3-nano-30b-a3b,nemotron-30B,ok,,0,0,0,0,0,0,0,0,0.0,0.0,unknown,0.0
3,crashbench-abo5,openrouter/openai/gpt-5.5,gpt-5.5,ok,no_prose_synthesis,0,0,0,0,9,0,0,0,0.0,0.0,unknown,0.0
3,crashbench-abo5,openrouter/qwen/qwen3-30b-a3b-instruct-2507,qwen-30B,ok,no_prose_synthesis,0,0,0,0,3,1367,20,1387,0.0,0.0,unknown,7.350964546203613
1,crashbench-abo7,openrouter/anthropic/claude-sonnet-4.5,claude-sonnet-4.5,ok,,0,0,0,0,7,22249,1772,24021,0.0,0.0543336,unknown,36.24216389656067
1,crashbench-abo7,openrouter/google/gemini-3.1-flash-lite-preview,gemini-3.1-FL,ok,,0,0,0,0,2,2017,358,2375,0.0,0.00104125,unknown,6.277395486831665
1,crashbench-abo7,openrouter/openai/gpt-5.5,gpt-5.5,ok,,0,0,0,0,5,7855,1318,9173,0.0,0.0,unknown,25.176350831985474
1,crashbench-abo7,openrouter/qwen/qwen3-30b-a3b-instruct-2507,qwen-30B,ok,,0,0,0,0,5,10682,730,11412,0.0,0.0,unknown,13.697436094284058
2,crashbench-abo7,openrouter/anthropic/claude-sonnet-4.5,claude-sonnet-4.5,ok,,0,0,0,0,8,30932,1319,32251,0.0,0.112581,unknown,64.26617431640625
2,crashbench-abo7,openrouter/google/gemini-3.1-flash-lite-preview,gemini-3.1-FL,ok,no_prose_synthesis,0,0,0,0,3,5857,98,5955,0.0,0.0016112499999999998,unknown,3.1215882301330566
2,crashbench-abo7,openrouter/openai/gpt-5.5,gpt-5.5,ok,,0,0,0,0,5,11844,950,12794,0.0,0.0,unknown,26.7930109500885
2,crashbench-abo7,openrouter/qwen/qwen3-30b-a3b-instruct-2507,qwen-30B,ok,,0,0,0,0,3,6245,624,6869,0.0,0.0,unknown,6.484854459762573
3,crashbench-abo7,openrouter/anthropic/claude-sonnet-4.5,claude-sonnet-4.5,ok,,0,0,0,0,24,12728,1278,14006,0.0,0.0,unknown,152.2547414302826
3,crashbench-abo7,openrouter/google/gemini-3.1-flash-lite-preview,gemini-3.1-FL,ok,,0,0,0,0,27,3542,379,3921,0.0,0.03304599999999999,unknown,26.336384773254395
3,crashbench-abo7,openrouter/nvidia/nemotron-3-nano-30b-a3b,nemotron-30B,ok,no_prose_synthesis,0,0,0,0,7,0,0,0,0.0,0.0,unknown,0.0
3,crashbench-abo7,openrouter/openai/gpt-5.5,gpt-5.5,ok,no_prose_synthesis,0,0,0,0,10,5849,19,5868,0.0,0.384255,unknown,42.8023841381073
3,crashbench-abo7,openrouter/qwen/qwen3-30b-a3b-instruct-2507,qwen-30B,ok,no_prose_synthesis,0,0,0,0,4,4066,19,4085,0.0,0.0,unknown,8.24816370010376
1,crashbench-abo8,openrouter/google/gemini-3.1-flash-lite-preview,gemini-3.1-FL,ok,,0,0,0,0,2,3609,353,3962,0.0,0.0014317499999999999,unknown,5.356509685516357
1,crashbench-abo8,openrouter/nvidia/nemotron-3-nano-30b-a3b,nemotron-30B,ok,,0,0,0,0,2,1879,706,2585,0.0,0.0,unknown,5.749639987945557
1,crashbench-abo8,openrouter/openai/gpt-5.5,gpt-5.5,ok,,0,0,0,0,5,15649,2137,17786,0.0,0.0,unknown,57.236851930618286
1,crashbench-abo8,openrouter/qwen/qwen3-30b-a3b-instruct-2507,qwen-30B,ok,,0,0,0,0,4,10422,695,11117,0.0,0.0,unknown,9.734869480133057
2,crashbench-abo8,openrouter/google/gemini-3.1-flash-lite-preview,gemini-3.1-FL,ok,,0,0,0,0,3,5816,411,6227,0.0,0.0020705000000000003,unknown,6.27737283706665
2,crashbench-abo8,openrouter/openai/gpt-5.5,gpt-5.5,ok,,0,0,0,0,6,17303,1377,18680,0.0,0.0,unknown,32.880154609680176
2,crashbench-abo8,openrouter/qwen/qwen3-30b-a3b-instruct-2507,qwen-30B,ok,,0,0,0,0,4,11965,910,12875,0.0,0.0,unknown,12.45147967338562
3,crashbench-abo8,openrouter/anthropic/claude-sonnet-4.5,claude-sonnet-4.5,ok,,0,0,0,0,11,4104,66,4170,0.0,0.0,unknown,33.26926279067993
3,crashbench-abo8,openrouter/google/gemini-3.1-flash-lite-preview,gemini-3.1-FL,ok,,0,0,0,0,21,2843,485,3328,0.0,0.022117250000000005,unknown,22.358522415161133
3,crashbench-abo8,openrouter/nvidia/nemotron-3-nano-30b-a3b,nemotron-30B,ok,,0,0,0,0,4,1747,23833,25580,0.0,0.0,unknown,185.5106270313263
3,crashbench-abo8,openrouter/openai/gpt-5.5,gpt-5.5,ok,,0,0,0,0,14,5964,1335,7299,0.0,0.47351,unknown,58.25205063819885
3,crashbench-abo8,openrouter/qwen/qwen3-30b-a3b-instruct-2507,qwen-30B,ok,no_prose_synthesis,0,0,0,0,7,1417,21,1438,0.0,0.0,unknown,11.158925533294678
1,juliet-cwe121-char-type-overrun-memcpy-01,openrouter/anthropic/claude-sonnet-4.5,claude-sonnet-4.5,ok,,0,0,0,0,8,28965,1856,30821,0.0,0.051393,unknown,42.97175168991089
1,juliet-cwe121-char-type-overrun-memcpy-01,openrouter/google/gemini-3.1-flash-lite-preview,gemini-3.1-FL,ok,,0,0,0,0,3,8076,777,8853,0.0,0.0031845,unknown,5.1335155963897705
1,juliet-cwe121-char-type-overrun-memcpy-01,openrouter/nvidia/nemotron-3-nano-30b-a3b,nemotron-30B,ok,,0,0,0,0,1,718,1970,2688,0.0,0.0,unknown,19.846917629241943
1,juliet-cwe121-char-type-overrun-memcpy-01,openrouter/openai/gpt-5.5,gpt-5.5,ok,,0,0,0,0,5,8127,1229,9356,0.0,0.0,unknown,25.378682851791382
1,juliet-cwe121-char-type-overrun-memcpy-01,openrouter/qwen/qwen3-30b-a3b-instruct-2507,qwen-30B,ok,,0,0,0,0,5,16784,529,17313,0.0,0.0,unknown,19.37579035758972
2,juliet-cwe121-char-type-overrun-memcpy-01,openrouter/google/gemini-3.1-flash-lite-preview,gemini-3.1-FL,ok,no_prose_synthesis,0,0,0,0,4,10572,87,10659,0.0,0.0027735,unknown,3.803338050842285
2,juliet-cwe121-char-type-overrun-memcpy-01,openrouter/openai/gpt-5.5,gpt-5.5,ok,,0,0,0,0,6,15483,1406,16889,0.0,0.0,unknown,196.3634204864502
3,juliet-cwe121-char-type-overrun-memcpy-01,openrouter/anthropic/claude-sonnet-4.5,claude-sonnet-4.5,ok,,0,0,0,0,16,6584,56,6640,0.0,0.0,unknown,37.33874487876892
3,juliet-cwe121-char-type-overrun-memcpy-01,openrouter/google/gemini-3.1-flash-lite-preview,gemini-3.1-FL,ok,,0,0,0,0,10,3007,694,3701,0.0,0.014788250000000003,unknown,11.61521053314209
3,juliet-cwe121-char-type-overrun-memcpy-01,openrouter/nvidia/nemotron-3-nano-30b-a3b,nemotron-30B,ok,,0,0,0,0,3,3010,2958,5968,0.0,0.0,unknown,68.2817165851593
3,juliet-cwe121-char-type-overrun-memcpy-01,openrouter/openai/gpt-5.5,gpt-5.5,ok,no_prose_synthesis,0,0,0,0,10,0,0,0,0.0,0.0,unknown,0.0
3,juliet-cwe121-char-type-overrun-memcpy-01,openrouter/qwen/qwen3-30b-a3b-instruct-2507,qwen-30B,ok,,0,0,0,0,15,3090,1133,4223,0.0,0.0,unknown,24.26478123664856
1,juliet-cwe122-char-type-overrun-memcpy-01,openrouter/anthropic/claude-sonnet-4.5,claude-sonnet-4.5,ok,,0,0,0,0,9,36302,2295,38597,0.0,0.0634137,unknown,47.47169089317322
1,juliet-cwe122-char-type-overrun-memcpy-01,openrouter/google/gemini-3.1-flash-lite-preview,gemini-3.1-FL,ok,,0,0,0,0,2,4213,525,4738,0.0,0.00184075,unknown,5.94547700881958
1,juliet-cwe122-char-type-overrun-memcpy-01,openrouter/nvidia/nemotron-3-nano-30b-a3b,nemotron-30B,ok,,0,0,0,0,1,591,1072,1663,0.0,0.0,unknown,10.67599606513977
1,juliet-cwe122-char-type-overrun-memcpy-01,openrouter/openai/gpt-5.5,gpt-5.5,ok,,0,0,0,0,7,12816,1597,14413,0.0,0.0,unknown,263.7213635444641
1,juliet-cwe122-char-type-overrun-memcpy-01,openrouter/qwen/qwen3-30b-a3b-instruct-2507,qwen-30B,ok,,0,0,0,0,5,12341,666,13007,0.0,0.0,unknown,12.452191352844238
2,juliet-cwe122-char-type-overrun-memcpy-01,openrouter/anthropic/claude-sonnet-4.5,claude-sonnet-4.5,ok,,0,0,0,0,12,57019,1864,58883,0.0,0.19901700000000003,unknown,53.01616072654724
2,juliet-cwe122-char-type-overrun-memcpy-01,openrouter/google/gemini-3.1-flash-lite-preview,gemini-3.1-FL,ok,,0,0,0,0,8,27828,847,28675,0.0,0.006416699999999999,unknown,38.6590416431427
2,juliet-cwe122-char-type-overrun-memcpy-01,openrouter/openai/gpt-5.5,gpt-5.5,ok,,0,0,0,0,4,9273,1058,10331,0.0,0.0,unknown,26.59498143196106
2,juliet-cwe122-char-type-overrun-memcpy-01,openrouter/qwen/qwen3-30b-a3b-instruct-2507,qwen-30B,ok,,0,0,0,0,9,29537,643,30180,0.0,0.0,unknown,55.58420419692993
3,juliet-cwe122-char-type-overrun-memcpy-01,openrouter/anthropic/claude-sonnet-4.5,claude-sonnet-4.5,ok,,0,0,0,0,15,0,0,0,0.0,0.0,unknown,0.0
3,juliet-cwe122-char-type-overrun-memcpy-01,openrouter/google/gemini-3.1-flash-lite-preview,gemini-3.1-FL,ok,,0,0,0,0,15,3407,576,3983,0.0,0.021710249999999997,unknown,47.71074938774109
3,juliet-cwe122-char-type-overrun-memcpy-01,openrouter/nvidia/nemotron-3-nano-30b-a3b,nemotron-30B,ok,,0,0,0,0,1,2389,2399,4788,0.0,0.0,unknown,36.32022023200989
3,juliet-cwe122-char-type-overrun-memcpy-01,openrouter/openai/gpt-5.5,gpt-5.5,ok,no_prose_synthesis,0,0,0,0,4,0,0,0,0.0,0.0,unknown,0.0
3,juliet-cwe122-char-type-overrun-memcpy-01,openrouter/qwen/qwen3-30b-a3b-instruct-2507,qwen-30B,ok,,0,0,0,0,42,8547,1345,9892,0.0,0.0,unknown,115.98833322525024
1,juliet-cwe126-char-alloca-loop-01,openrouter/anthropic/claude-sonnet-4.5,claude-sonnet-4.5,ok,,0,0,0,0,0,0,0,0,0.0,0.0,unknown,248.96109867095947
1,juliet-cwe126-char-alloca-loop-01,openrouter/google/gemini-3.1-flash-lite-preview,gemini-3.1-FL,ok,,0,0,0,0,3,9825,645,10470,0.0,0.0034237499999999997,unknown,230.57666683197021
1,juliet-cwe126-char-alloca-loop-01,openrouter/nvidia/nemotron-3-nano-30b-a3b,nemotron-30B,ok,,0,0,0,0,1,591,834,1425,0.0,0.0,unknown,6.623866558074951
1,juliet-cwe126-char-alloca-loop-01,openrouter/openai/gpt-5.5,gpt-5.5,ok,,0,0,0,0,5,10146,1336,11482,0.0,0.0,unknown,27.429574251174927
1,juliet-cwe126-char-alloca-loop-01,openrouter/qwen/qwen3-30b-a3b-instruct-2507,qwen-30B,ok,no_prose_synthesis,0,0,0,0,5,19632,127,19759,0.0,0.0,unknown,23.097548961639404
2,juliet-cwe126-char-alloca-loop-01,openrouter/anthropic/claude-sonnet-4.5,claude-sonnet-4.5,ok,,0,0,0,0,0,0,0,0,0.0,0.0,unknown,252.21156096458435
2,juliet-cwe126-char-alloca-loop-01,openrouter/google/gemini-3.1-flash-lite-preview,gemini-3.1-FL,ok,no_prose_synthesis,0,0,0,0,10,56835,691,57526,0.0,0.008866949999999998,unknown,43.92167329788208
2,juliet-cwe126-char-alloca-loop-01,openrouter/openai/gpt-5.5,gpt-5.5,ok,,0,0,0,0,6,24645,1358,26003,0.0,0.0,unknown,33.61973309516907
3,juliet-cwe126-char-alloca-loop-01,openrouter/anthropic/claude-sonnet-4.5,claude-sonnet-4.5,ok,,0,0,0,0,0,0,0,0,0.0,0.0,unknown,0.0
3,juliet-cwe126-char-alloca-loop-01,openrouter/google/gemini-3.1-flash-lite-preview,gemini-3.1-FL,ok,,0,0,0,0,13,2161,528,2689,0.0,0.01071225,unknown,46.286598682403564
3,juliet-cwe126-char-alloca-loop-01,openrouter/nvidia/nemotron-3-nano-30b-a3b,nemotron-30B,ok,no_prose_synthesis,0,0,0,0,8,0,0,0,0.0,0.0,unknown,0.0
3,juliet-cwe126-char-alloca-loop-01,openrouter/openai/gpt-5.5,gpt-5.5,ok,no_prose_synthesis,0,0,0,0,1,0,0,0,0.0,0.0,unknown,0.0
3,juliet-cwe126-char-alloca-loop-01,openrouter/qwen/qwen3-30b-a3b-instruct-2507,qwen-30B,ok,,0,0,0,0,7,2139,763,2902,0.0,0.0,unknown,22.628235340118408
1,juliet-cwe415-malloc-free-char-01,openrouter/anthropic/claude-sonnet-4.5,claude-sonnet-4.5,ok,,0,0,0,0,0,0,0,0,0.0,0.0,unknown,248.86223220825195
1,juliet-cwe415-malloc-free-char-01,openrouter/google/gemini-3.1-flash-lite-preview,gemini-3.1-FL,ok,,0,0,0,0,2,6270,429,6699,0.0,0.0022110000000000003,unknown,4.544524669647217
1,juliet-cwe415-malloc-free-char-01,openrouter/nvidia/nemotron-3-nano-30b-a3b,nemotron-30B,ok,,0,0,0,0,1,591,1086,1677,0.0,0.0,unknown,10.043734550476074
1,juliet-cwe415-malloc-free-char-01,openrouter/openai/gpt-5.5,gpt-5.5,ok,,0,0,0,0,5,9780,1109,10889,0.0,0.0,unknown,22.783849477767944
2,juliet-cwe415-malloc-free-char-01,openrouter/anthropic/claude-sonnet-4.5,claude-sonnet-4.5,ok,,0,0,0,0,0,0,0,0,0.0,0.0,unknown,249.31301617622375
2,juliet-cwe415-malloc-free-char-01,openrouter/google/gemini-3.1-flash-lite-preview,gemini-3.1-FL,ok,,0,0,0,0,3,8154,235,8389,0.0,0.002391,unknown,3.481990337371826
2,juliet-cwe415-malloc-free-char-01,openrouter/nvidia/nemotron-3-nano-30b-a3b,nemotron-30B,ok,,0,0,0,0,3,9211,1016,10227,0.0,0.0,unknown,8.542364358901978
2,juliet-cwe415-malloc-free-char-01,openrouter/openai/gpt-5.5,gpt-5.5,ok,,0,0,0,0,4,12649,916,13565,0.0,0.0,unknown,28.819457292556763
2,juliet-cwe415-malloc-free-char-01,openrouter/qwen/qwen3-30b-a3b-instruct-2507,qwen-30B,ok,,0,0,0,0,3,8058,396,8454,0.0,0.0,unknown,5.639339208602905
3,juliet-cwe415-malloc-free-char-01,openrouter/anthropic/claude-sonnet-4.5,claude-sonnet-4.5,ok,,0,0,0,0,0,0,0,0,0.0,0.0,unknown,0.0
3,juliet-cwe415-malloc-free-char-01,openrouter/google/gemini-3.1-flash-lite-preview,gemini-3.1-FL,ok,,0,0,0,0,17,10634,369,11003,0.0,0.05378899999999999,unknown,23.727186918258667
3,juliet-cwe415-malloc-free-char-01,openrouter/nvidia/nemotron-3-nano-30b-a3b,nemotron-30B,ok,,0,0,0,0,15,8537,3908,12445,0.0,0.0,unknown,219.32295060157776
3,juliet-cwe415-malloc-free-char-01,openrouter/openai/gpt-5.5,gpt-5.5,ok,no_prose_synthesis,0,0,0,0,11,0,0,0,0.0,0.0,unknown,0.0
3,juliet-cwe415-malloc-free-char-01,openrouter/qwen/qwen3-30b-a3b-instruct-2507,qwen-30B,ok,,0,0,0,0,4,3288,277,3565,0.0,0.0,unknown,3.8143372535705566
1,juliet-cwe416-malloc-free-char-01,openrouter/anthropic/claude-sonnet-4.5,claude-sonnet-4.5,ok,,0,0,0,0,0,0,0,0,0.0,0.0,unknown,248.680894613266
1,juliet-cwe416-malloc-free-char-01,openrouter/google/gemini-3.1-flash-lite-preview,gemini-3.1-FL,ok,,0,0,0,0,2,7110,455,7565,0.0,0.00246,unknown,3.9232795238494873
1,juliet-cwe416-malloc-free-char-01,openrouter/nvidia/nemotron-3-nano-30b-a3b,nemotron-30B,ok,,0,0,0,0,1,591,1137,1728,0.0,0.0,unknown,10.421849489212036
1,juliet-cwe416-malloc-free-char-01,openrouter/openai/gpt-5.5,gpt-5.5,ok,,0,0,0,0,4,12075,1157,13232,0.0,0.0,unknown,25.868710041046143
1,juliet-cwe416-malloc-free-char-01,openrouter/qwen/qwen3-30b-a3b-instruct-2507,qwen-30B,ok,no_prose_synthesis,0,0,0,0,5,19265,127,19392,0.0,0.0,unknown,134.4376814365387
2,juliet-cwe416-malloc-free-char-01,openrouter/anthropic/claude-sonnet-4.5,claude-sonnet-4.5,ok,,0,0,0,0,0,0,0,0,0.0,0.0,unknown,250.50692772865295
2,juliet-cwe416-malloc-free-char-01,openrouter/openai/gpt-5.5,gpt-5.5,ok,,0,0,0,0,4,12996,881,13877,0.0,0.0,unknown,27.16273331642151
3,juliet-cwe416-malloc-free-char-01,openrouter/anthropic/claude-sonnet-4.5,claude-sonnet-4.5,ok,,0,0,0,0,0,0,0,0,0.0,0.0,unknown,0.0
3,juliet-cwe416-malloc-free-char-01,openrouter/google/gemini-3.1-flash-lite-preview,gemini-3.1-FL,ok,,0,0,0,0,15,5295,401,5696,0.0,0.02086925,unknown,14.816579103469849
3,juliet-cwe416-malloc-free-char-01,openrouter/nvidia/nemotron-3-nano-30b-a3b,nemotron-30B,ok,no_prose_synthesis,0,0,0,0,14,0,0,0,0.0,0.0,unknown,0.0
3,juliet-cwe416-malloc-free-char-01,openrouter/openai/gpt-5.5,gpt-5.5,ok,no_prose_synthesis,0,0,0,0,1,0,0,0,0.0,0.0,unknown,0.0
3,juliet-cwe416-malloc-free-char-01,openrouter/qwen/qwen3-30b-a3b-instruct-2507,qwen-30B,ok,no_prose_synthesis,0,0,0,0,7,4097,21,4118,0.0,0.0,unknown,13.789777278900146
