source,case_id,tier,model,status,elapsed_s,tool_calls,response_len,has_rc,has_lf,has_gf,response_source,has_collect
local,juliet-cwe121-char-type-overrun-memcpy-01,1,google/gemini-2.5-flash,ok,16.086,5,2930,True,True,True,recovered_from_tool_output_partial_prose,True
local,juliet-cwe122-char-type-overrun-memcpy-01,1,google/gemini-2.5-flash,ok,25.989,5,2561,True,True,True,,True
local,juliet-cwe126-char-alloca-loop-01,1,google/gemini-2.5-flash,ok,19.074,5,2112,True,True,True,,True
local,juliet-cwe415-malloc-free-char-01,1,google/gemini-2.5-flash,ok,19.794,5,2088,True,True,True,,True
local,juliet-cwe416-malloc-free-char-01,1,google/gemini-2.5-flash,ok,21.56,5,2254,True,True,True,,True
local,man-overflow,1,google/gemini-2.5-flash,build_failed,0.0,,0,False,False,False,,False
local,ncompress-overflow,1,google/gemini-2.5-flash,ok,254.301,7,2806,True,True,True,,True
local,polymorph-overflow,1,google/gemini-2.5-flash,ok,31.673,6,3089,True,True,True,,True
local,bc-heap-overflow,1,google/gemini-3.1-flash-lite-preview,ok,14.21,7,1385,True,True,True,recovered_from_tool_output,True
local,berry-1,1,google/gemini-3.1-flash-lite-preview,ok,29.705,19,1129,True,True,True,recovered_from_tool_output,True
local,berry-2,1,google/gemini-3.1-flash-lite-preview,ok,157.401,100,0,False,False,False,,True
local,berry-3,1,google/gemini-3.1-flash-lite-preview,ok,111.434,100,0,False,False,False,,True
local,berry-4,1,google/gemini-3.1-flash-lite-preview,ok,150.751,100,0,False,False,False,,True
local,berry-5,1,google/gemini-3.1-flash-lite-preview,ok,19.899,12,1407,True,True,True,recovered_from_tool_output,True
local,man-overflow,1,google/gemini-3.1-flash-lite-preview,build_failed,0.0,,0,False,False,False,,False
local,ncompress-overflow,1,google/gemini-3.1-flash-lite-preview,ok,12.926,6,1507,True,True,True,recovered_from_tool_output,True
local,polymorph-overflow,1,google/gemini-3.1-flash-lite-preview,ok,32.515,12,1388,True,True,True,recovered_from_tool_output,True
local,bc-heap-overflow,1,meta-llama/llama-3.1-8b-instruct,ok,22.012,7,892,True,True,True,recovered_from_tool_output,True
local,crashbench-abo1,1,meta-llama/llama-3.1-8b-instruct,ok,15.959,3,544,True,True,True,recovered_from_tool_output,True
local,crashbench-abo2,1,meta-llama/llama-3.1-8b-instruct,ok,16.249,3,546,True,True,True,recovered_from_tool_output,True
local,crashbench-abo3,1,meta-llama/llama-3.1-8b-instruct,ok,16.888,3,589,True,True,True,recovered_from_tool_output,True
local,crashbench-abo5,1,meta-llama/llama-3.1-8b-instruct,ok,19.082,3,1345,True,True,True,recovered_from_tool_output,True
local,crashbench-abo7,1,meta-llama/llama-3.1-8b-instruct,ok,16.206,3,668,True,True,True,recovered_from_tool_output,True
local,crashbench-abo8,1,meta-llama/llama-3.1-8b-instruct,ok,16.414,3,984,True,True,True,recovered_from_tool_output,True
local,juliet-cwe121-char-type-overrun-memcpy-01,1,meta-llama/llama-3.1-8b-instruct,ok,14.634,3,768,True,True,True,recovered_from_tool_output,True
local,juliet-cwe122-char-type-overrun-memcpy-01,1,meta-llama/llama-3.1-8b-instruct,ok,15.205,3,900,True,True,True,recovered_from_tool_output,True
local,juliet-cwe126-char-alloca-loop-01,1,meta-llama/llama-3.1-8b-instruct,ok,15.375,3,636,True,True,True,recovered_from_tool_output,True
local,juliet-cwe415-malloc-free-char-01,1,meta-llama/llama-3.1-8b-instruct,ok,16.803,3,650,True,True,True,recovered_from_tool_output,True
local,juliet-cwe416-malloc-free-char-01,1,meta-llama/llama-3.1-8b-instruct,ok,16.495,3,707,True,True,True,recovered_from_tool_output,True
local,man-overflow,1,meta-llama/llama-3.1-8b-instruct,build_failed,0.0,,0,False,False,False,,False
local,ncompress-overflow,1,meta-llama/llama-3.1-8b-instruct,ok,13.665,3,0,False,False,False,,True
local,polymorph-overflow,1,meta-llama/llama-3.1-8b-instruct,ok,10.811,2,0,False,False,False,,True
local,bc-heap-overflow,1,nvidia/nemotron-3-nano-30b-a3b,ok,37.019,6,1925,True,True,True,recovered_from_tool_output,True
local,berry-1,1,nvidia/nemotron-3-nano-30b-a3b,timeout,601.459,,0,False,False,False,,False
local,berry-2,1,nvidia/nemotron-3-nano-30b-a3b,ok,266.861,17,974,True,True,True,recovered_from_tool_output,True
local,berry-3,1,nvidia/nemotron-3-nano-30b-a3b,timeout,601.532,,0,False,False,False,,False
local,berry-4,1,nvidia/nemotron-3-nano-30b-a3b,timeout,601.577,,0,False,False,False,,False
local,berry-5,1,nvidia/nemotron-3-nano-30b-a3b,timeout,601.609,,0,False,False,False,,False
local,crashbench-abo2,1,nvidia/nemotron-3-nano-30b-a3b,timeout,601.701,,0,False,False,False,,False
local,crashbench-abo3,1,nvidia/nemotron-3-nano-30b-a3b,timeout,601.702,,0,False,False,False,,False
local,crashbench-abo5,1,nvidia/nemotron-3-nano-30b-a3b,timeout,601.675,,0,False,False,False,,False
local,crashbench-abo7,1,nvidia/nemotron-3-nano-30b-a3b,timeout,601.685,,0,False,False,False,,False
local,man-overflow,1,nvidia/nemotron-3-nano-30b-a3b,build_failed,0.0,,0,False,False,False,,False
local,ncompress-overflow,1,nvidia/nemotron-3-nano-30b-a3b,timeout,9085.768,,0,False,False,False,,False
local,polymorph-overflow,1,nvidia/nemotron-3-nano-30b-a3b,timeout,9085.773,,0,False,False,False,,False
local,crashbench-abo1,1,openai/gpt-4o,ok,63.03,5,1255,True,True,True,,True
local,crashbench-abo2,1,openai/gpt-4o,ok,40.6,6,844,True,True,True,,True
local,crashbench-abo3,1,openai/gpt-4o,ok,14.738,6,961,True,True,True,recovered_from_tool_output,True
local,crashbench-abo5,1,openai/gpt-4o,ok,64.031,6,2180,True,True,True,recovered_from_tool_output_partial_prose,True
local,crashbench-abo7,1,openai/gpt-4o,ok,53.847,5,913,True,True,True,recovered_from_tool_output,True
local,crashbench-abo8,1,openai/gpt-4o,ok,47.797,5,955,True,True,True,recovered_from_tool_output,True
local,juliet-cwe121-char-type-overrun-memcpy-01,1,openai/gpt-4o,ok,36.385,6,1410,True,True,True,,True
local,juliet-cwe122-char-type-overrun-memcpy-01,1,openai/gpt-4o,ok,56.6,6,1006,True,True,True,recovered_from_tool_output,True
local,juliet-cwe126-char-alloca-loop-01,1,openai/gpt-4o,ok,32.34,6,934,True,True,True,recovered_from_tool_output,True
local,juliet-cwe415-malloc-free-char-01,1,openai/gpt-4o,ok,56.3,5,865,True,True,True,recovered_from_tool_output,True
local,juliet-cwe416-malloc-free-char-01,1,openai/gpt-4o,ok,29.71,5,878,True,True,True,recovered_from_tool_output,True
local,ncompress-overflow,1,openai/gpt-4o,ok,35.393,7,1220,True,True,True,recovered_from_tool_output,True
local,bc-heap-overflow,1,openai/gpt-5.5,ok,83.656,7,4650,True,True,True,recovered_from_tool_output_partial_prose,True
local,crashbench-abo3,1,openai/gpt-5.5,ok,41.345,6,1999,True,True,True,recovered_from_tool_output_partial_prose,True
local,man-overflow,1,openai/gpt-5.5,build_failed,0.0,,0,False,False,False,,False
local,ncompress-overflow,1,openai/gpt-5.5,ok,42.234,5,3686,True,True,True,recovered_from_tool_output_partial_prose,True
local,polymorph-overflow,1,openai/gpt-5.5,ok,60.242,5,4278,True,True,True,recovered_from_tool_output_partial_prose,True
local,berry-5,1,qwen/qwen3-30b-a3b-instruct-2507,ok,21.056,7,4929,True,True,True,recovered_from_tool_output_partial_prose,True
local,crashbench-abo3,1,qwen/qwen3-30b-a3b-instruct-2507,ok,15.925,5,2931,True,True,True,recovered_from_tool_output_partial_prose,True
local,crashbench-abo5,1,qwen/qwen3-30b-a3b-instruct-2507,ok,26.101,6,0,False,False,False,,True
local,juliet-cwe415-malloc-free-char-01,1,qwen/qwen3-30b-a3b-instruct-2507,ok,20.229,6,2090,True,True,True,recovered_from_tool_output_partial_prose,True
local,ncompress-overflow,1,qwen/qwen3-30b-a3b-instruct-2507,timeout,778.243,,0,False,False,False,,False
bound,bc-heap-overflow,1,openai/gpt-4o,ok,29.608,8,2542,True,True,True,,True
bound,bc-heap-overflow,1,qwen/qwen3-30b-a3b-instruct-2507,ok,149.232,51,1596,True,True,True,,True
bound,bc-heap-overflow,3,meta-llama/llama-3.1-8b-instruct,ok,6.802,0,64,False,False,False,,True
bound,bc-heap-overflow,3,nvidia/nemotron-3-nano-30b-a3b,ok,35.395,7,3200,True,True,True,,True
bound,bc-heap-overflow,3,openai/gpt-4o,ok,13.25,0,3009,False,False,False,,True
bound,bc-heap-overflow,3,qwen/qwen3-30b-a3b-instruct-2507,ok,315.045,148,3059,True,True,True,,True
bound,berry-1,1,google/gemini-2.5-flash,ok,13.094,8,4508,True,True,True,,True
bound,berry-1,1,meta-llama/llama-3.1-8b-instruct,ok,14.391,5,1722,False,False,False,,True
bound,berry-1,1,openai/gpt-4o,ok,79.317,19,10078,True,True,True,,True
bound,berry-1,1,openai/gpt-5.5,ok,43.86,5,3729,True,True,True,,True
bound,berry-1,1,qwen/qwen3-30b-a3b-instruct-2507,ok,48.186,8,6847,True,True,True,,True
bound,berry-1,3,meta-llama/llama-3.1-8b-instruct,ok,16.61,3,2812,False,False,False,,True
bound,berry-1,3,nvidia/nemotron-3-nano-30b-a3b,ok,225.884,6,4805,False,False,False,,True
bound,berry-1,3,openai/gpt-4o,ok,18.408,8,3739,True,True,True,,True
bound,berry-1,3,qwen/qwen3-30b-a3b-instruct-2507,ok,57.701,6,10772,True,True,True,,True
bound,berry-2,1,google/gemini-2.5-flash,ok,19.134,6,5957,True,True,True,,True
bound,berry-2,1,meta-llama/llama-3.1-8b-instruct,ok,16.359,7,2363,True,True,True,,True
bound,berry-2,1,openai/gpt-4o,ok,25.079,9,4089,True,True,True,,True
bound,berry-2,1,openai/gpt-5.5,ok,107.96,16,4262,True,True,True,,True
bound,berry-2,1,qwen/qwen3-30b-a3b-instruct-2507,ok,439.922,25,11888,True,True,True,,True
bound,berry-2,3,google/gemini-2.5-flash,ok,20.157,7,6706,True,True,True,,True
bound,berry-2,3,meta-llama/llama-3.1-8b-instruct,ok,10.921,0,0,False,False,False,,True
bound,berry-2,3,openai/gpt-4o,ok,18.322,14,2420,True,True,True,,True
bound,berry-2,3,qwen/qwen3-30b-a3b-instruct-2507,ok,172.924,52,7673,True,True,True,,True
bound,berry-3,1,google/gemini-2.5-flash,ok,18.255,10,7639,True,True,True,,True
bound,berry-3,1,meta-llama/llama-3.1-8b-instruct,ok,22.047,8,3380,False,False,False,,True
bound,berry-3,1,openai/gpt-4o,ok,44.09,6,2378,True,True,True,,True
bound,berry-3,1,openai/gpt-5.5,ok,116.219,34,6578,True,True,True,,True
bound,berry-3,1,qwen/qwen3-30b-a3b-instruct-2507,ok,235.023,68,1872,True,True,True,,True
bound,berry-3,3,google/gemini-2.5-flash,ok,72.588,54,24642,True,True,True,,True
bound,berry-3,3,meta-llama/llama-3.1-8b-instruct,ok,7.201,0,100,False,False,False,,True
bound,berry-3,3,openai/gpt-4o,ok,18.572,11,2411,True,True,True,,True
bound,berry-3,3,qwen/qwen3-30b-a3b-instruct-2507,ok,136.704,25,15460,True,True,True,,True
bound,berry-4,1,google/gemini-2.5-flash,ok,15.426,7,6768,True,True,True,,True
bound,berry-4,1,meta-llama/llama-3.1-8b-instruct,ok,309.323,0,0,False,False,False,,True
bound,berry-4,1,openai/gpt-4o,ok,24.135,6,2290,True,True,True,,True
bound,berry-4,1,openai/gpt-5.5,ok,50.773,10,4121,True,True,True,,True
bound,berry-4,1,qwen/qwen3-30b-a3b-instruct-2507,ok,99.407,27,4661,True,True,True,,True
bound,berry-4,3,google/gemini-2.5-flash,ok,38.48,31,12249,True,True,True,,True
bound,berry-4,3,meta-llama/llama-3.1-8b-instruct,ok,7.501,0,50,False,False,False,,True
bound,berry-4,3,openai/gpt-4o,ok,12.017,2,2712,False,False,False,,True
bound,berry-4,3,openai/gpt-5.5,ok,408.676,204,5100,True,True,True,,True
bound,berry-4,3,qwen/qwen3-30b-a3b-instruct-2507,ok,138.26,48,2568,True,True,True,,True
bound,berry-5,1,google/gemini-2.5-flash,ok,31.862,24,10958,True,True,True,,True
bound,berry-5,1,meta-llama/llama-3.1-8b-instruct,ok,38.004,7,2912,True,True,True,,True
bound,berry-5,1,openai/gpt-4o,ok,46.367,6,2475,True,True,True,,True
bound,berry-5,1,openai/gpt-5.5,ok,99.257,20,5482,True,True,True,,True
bound,berry-5,3,google/gemini-2.5-flash,ok,22.474,8,6790,True,True,True,,True
bound,berry-5,3,meta-llama/llama-3.1-8b-instruct,ok,32.679,5,5191,True,True,True,,True
bound,berry-5,3,nvidia/nemotron-3-nano-30b-a3b,ok,151.406,6,4151,False,False,False,,True
bound,berry-5,3,openai/gpt-4o,ok,15.02,10,2251,True,True,True,,True
bound,berry-5,3,qwen/qwen3-30b-a3b-instruct-2507,ok,88.009,19,15614,True,True,True,,True
bound,crashbench-abo1,1,anthropic/claude-sonnet-4.5,ok,45.963,7,3320,True,True,True,,True
bound,crashbench-abo1,1,google/gemini-3.1-flash-lite-preview,ok,10.74,3,0,False,False,False,,True
bound,crashbench-abo1,1,nvidia/nemotron-3-nano-30b-a3b,ok,27.606,1,815,True,True,True,,True
bound,crashbench-abo1,1,openai/gpt-5.5,ok,37.05,5,3223,True,True,True,,True
bound,crashbench-abo1,1,qwen/qwen3-30b-a3b-instruct-2507,ok,158.347,5,2190,True,True,True,,True
bound,crashbench-abo1,3,anthropic/claude-sonnet-4.5,ok,40.406,0,0,False,False,False,,True
bound,crashbench-abo1,3,openai/gpt-5.5,ok,108.991,16,4660,False,False,False,,True
bound,crashbench-abo2,1,google/gemini-3.1-flash-lite-preview,ok,20.448,2,1691,True,True,True,,True
bound,crashbench-abo2,1,openai/gpt-5.5,ok,51.136,3,3179,True,True,True,,True
bound,crashbench-abo2,1,qwen/qwen3-30b-a3b-instruct-2507,ok,17.548,5,1788,True,True,True,,True
bound,crashbench-abo2,3,anthropic/claude-sonnet-4.5,ok,102.941,11,474,False,False,False,,True
bound,crashbench-abo2,3,google/gemini-3.1-flash-lite-preview,ok,27.665,20,1734,False,False,False,,True
bound,crashbench-abo3,1,anthropic/claude-sonnet-4.5,ok,271.268,7,2978,True,True,True,,True
bound,crashbench-abo3,1,google/gemini-3.1-flash-lite-preview,ok,12.098,2,1832,True,True,True,,True
bound,crashbench-abo3,3,openai/gpt-5.5,ok,74.501,10,7,False,False,False,,True
bound,crashbench-abo5,1,anthropic/claude-sonnet-4.5,ok,77.94,9,3382,True,True,True,,True
bound,crashbench-abo5,1,google/gemini-3.1-flash-lite-preview,ok,14.266,2,2095,True,True,True,,True
bound,crashbench-abo5,1,openai/gpt-5.5,ok,51.975,6,3792,True,True,True,,True
bound,crashbench-abo5,3,nvidia/nemotron-3-nano-30b-a3b,ok,39.945,0,0,False,False,False,,True
bound,crashbench-abo7,1,anthropic/claude-sonnet-4.5,ok,39.061,7,2882,True,True,True,,True
bound,crashbench-abo7,1,google/gemini-3.1-flash-lite-preview,ok,13.33,2,1382,True,True,True,,True
bound,crashbench-abo7,1,openai/gpt-5.5,ok,28.234,5,3228,True,True,True,,True
bound,crashbench-abo7,1,qwen/qwen3-30b-a3b-instruct-2507,ok,16.662,5,1652,True,True,True,,True
bound,crashbench-abo7,3,anthropic/claude-sonnet-4.5,ok,156.429,24,6608,False,False,False,,True
bound,crashbench-abo7,3,nvidia/nemotron-3-nano-30b-a3b,ok,184.819,7,11,False,False,False,,True
bound,crashbench-abo8,1,google/gemini-3.1-flash-lite-preview,ok,10.853,2,1805,True,True,True,,True
bound,crashbench-abo8,1,nvidia/nemotron-3-nano-30b-a3b,ok,11.832,2,1034,True,True,True,,True
bound,crashbench-abo8,1,openai/gpt-5.5,ok,60.269,5,3656,True,True,True,,True
bound,crashbench-abo8,1,qwen/qwen3-30b-a3b-instruct-2507,ok,12.873,4,1699,True,True,True,,True
bound,juliet-cwe121-char-type-overrun-memcpy-01,1,anthropic/claude-sonnet-4.5,ok,46.329,8,3778,True,True,True,,True
bound,juliet-cwe121-char-type-overrun-memcpy-01,1,google/gemini-3.1-flash-lite-preview,ok,13.21,3,3160,True,True,True,,True
bound,juliet-cwe121-char-type-overrun-memcpy-01,1,nvidia/nemotron-3-nano-30b-a3b,ok,23.301,1,599,True,True,True,,True
bound,juliet-cwe121-char-type-overrun-memcpy-01,1,openai/gpt-5.5,ok,28.719,5,2960,True,True,True,,True
bound,juliet-cwe121-char-type-overrun-memcpy-01,1,qwen/qwen3-30b-a3b-instruct-2507,ok,23.511,5,1540,True,True,True,,True
bound,juliet-cwe122-char-type-overrun-memcpy-01,1,anthropic/claude-sonnet-4.5,ok,50.633,9,4176,True,True,True,,True
bound,juliet-cwe122-char-type-overrun-memcpy-01,1,google/gemini-3.1-flash-lite-preview,ok,12.015,2,2077,True,True,True,,True
bound,juliet-cwe122-char-type-overrun-memcpy-01,1,nvidia/nemotron-3-nano-30b-a3b,ok,13.717,1,612,True,True,True,,True
bound,juliet-cwe122-char-type-overrun-memcpy-01,1,openai/gpt-5.5,ok,266.895,7,3429,True,True,True,,True
bound,juliet-cwe122-char-type-overrun-memcpy-01,1,qwen/qwen3-30b-a3b-instruct-2507,ok,15.714,5,2071,True,True,True,,True
bound,juliet-cwe122-char-type-overrun-memcpy-01,3,qwen/qwen3-30b-a3b-instruct-2507,ok,119.154,42,4594,False,False,False,,True
bound,juliet-cwe126-char-alloca-loop-01,1,anthropic/claude-sonnet-4.5,ok,252.477,0,0,False,False,False,,True
bound,juliet-cwe126-char-alloca-loop-01,1,google/gemini-3.1-flash-lite-preview,ok,239.272,3,2498,True,True,True,,True
bound,juliet-cwe126-char-alloca-loop-01,1,nvidia/nemotron-3-nano-30b-a3b,ok,9.272,1,588,True,True,True,,True
bound,juliet-cwe126-char-alloca-loop-01,1,openai/gpt-5.5,ok,30.766,5,3033,True,True,True,,True
bound,juliet-cwe126-char-alloca-loop-01,1,qwen/qwen3-30b-a3b-instruct-2507,ok,25.713,5,0,False,False,False,,True
bound,juliet-cwe415-malloc-free-char-01,1,anthropic/claude-sonnet-4.5,ok,252.285,0,0,False,False,False,,True
bound,juliet-cwe415-malloc-free-char-01,1,google/gemini-3.1-flash-lite-preview,ok,10.467,2,1691,True,True,True,,True
bound,juliet-cwe415-malloc-free-char-01,1,nvidia/nemotron-3-nano-30b-a3b,ok,12.883,1,684,True,True,True,,True
bound,juliet-cwe415-malloc-free-char-01,1,openai/gpt-5.5,ok,26.103,5,3389,True,True,True,,True
bound,juliet-cwe415-malloc-free-char-01,3,anthropic/claude-sonnet-4.5,ok,5.146,0,0,False,False,False,,True
bound,juliet-cwe415-malloc-free-char-01,3,qwen/qwen3-30b-a3b-instruct-2507,ok,7.685,4,1277,False,False,False,,True
bound,juliet-cwe416-malloc-free-char-01,1,anthropic/claude-sonnet-4.5,ok,252.515,0,0,False,False,False,,True
bound,juliet-cwe416-malloc-free-char-01,1,google/gemini-3.1-flash-lite-preview,ok,9.917,2,1801,True,True,True,,True
bound,juliet-cwe416-malloc-free-char-01,1,nvidia/nemotron-3-nano-30b-a3b,ok,13.261,1,766,True,True,True,,True
bound,juliet-cwe416-malloc-free-char-01,1,openai/gpt-5.5,ok,29.132,4,3006,True,True,True,,True
bound,juliet-cwe416-malloc-free-char-01,1,qwen/qwen3-30b-a3b-instruct-2507,ok,137.878,5,0,False,False,False,,True
bound,man-overflow,1,openai/gpt-4o,ok,98.392,11,3082,True,True,True,,True
bound,man-overflow,1,qwen/qwen3-30b-a3b-instruct-2507,ok,13.086,5,2717,False,False,False,,True
bound,ncompress-overflow,3,meta-llama/llama-3.1-8b-instruct,ok,5.9,0,64,False,False,False,,True
bound,ncompress-overflow,3,nvidia/nemotron-3-nano-30b-a3b,ok,71.956,10,4032,True,True,True,,True
bound,ncompress-overflow,3,openai/gpt-4o,ok,25.266,12,2495,False,False,False,,True
bound,ncompress-overflow,3,qwen/qwen3-30b-a3b-instruct-2507,ok,227.749,129,2443,True,True,True,,True
bound,polymorph-overflow,1,openai/gpt-4o,ok,21.504,5,2084,True,True,True,,True
bound,polymorph-overflow,1,qwen/qwen3-30b-a3b-instruct-2507,ok,181.963,99,0,False,False,False,,True
