suite,case_id,model,rc,lf,gf,total,n_tools,tool_freq,tokens,elapsed_s,resp_len,run_dir
full-synthetic-v1-stripped,heap-overflow-csv,nemotron-3-nano-30b-a3b,1,1,0,2,1,"{""code"": 1}",3227,37.482,3389,bench/results/full-synthetic-v1-stripped/heap-overflow-csv__tier3__openrouter_nvidia_nemotron-3-nano-30b-a3b__tier3_gdb_only__ctx10__t1
full-synthetic-v1-stripped,off-by-one-crc,qwen3-30b-a3b-instruct-2507,1,1,0,2,11,"{""frame"": 4, ""code"": 1, ""definition"": 1, ""fr"": 3, ""expr"": 1, ""disassemble"": 1}",2927,21.934,1853,bench/results/full-synthetic-v1-stripped/off-by-one-crc__tier3__openrouter_qwen_qwen3-30b-a3b-instruct-2507__tier3_gdb_only__ctx10__t1
full-synthetic-v1-stripped,uninit-stack-accumulator,gpt-5.5,1,1,1,3,38,"{""thread"": 2, ""bt"": 2, ""register"": 2, ""frame"": 2, ""image"": 3, ""source"": 3, ""help"": 3, ""target"": 2, ""shell"": 1, ""why"": 1, ""re"": 1, ""disassemble"": 1, ""code"": 8, ""p/x"": 1, ""p"": 2, ""b"": 1, ""run"": 1, ""process"": 1, ""c"": 1}",7471,156.426,4657,bench/results/full-synthetic-v1-stripped/uninit-stack-accumulator__tier3__openrouter_openai_gpt-5.5__tier3_gdb_only__ctx10__t1
full-synthetic-v1-stripped,null-deref-env,gpt-5.5,1,1,0,2,5,"{""frame"": 1, ""p"": 2, ""definition"": 2}",2985,31.344,3637,bench/results/full-synthetic-v1-stripped/null-deref-env__tier3__openrouter_openai_gpt-5.5__tier3_gdb_only__ctx10__t1
full-synthetic-v1-stripped,uninit-stack-accumulator,gemini-3.1-flash-lite-preview,0,0,0,0,41,"{""bt"": 2, ""frame"": 2, ""image"": 1, ""ls"": 1, ""process"": 1, ""run"": 1, ""p"": 1, ""register"": 1, ""help"": 1, ""target"": 1, ""breakpoint"": 1, ""shell"": 3, ""code"": 19, ""why"": 1, ""b"": 1, ""file"": 1, ""dir"": 1, ""settings"": 1, ""disassemble"": 1}",4407,41.155,41,bench/results/full-synthetic-v1-stripped/uninit-stack-accumulator__tier3__openrouter_google_gemini-3.1-flash-lite-preview__tier3_gdb_only__ctx10__t1
full-synthetic-v1-stripped,heap-overflow-csv,gpt-5.5,1,1,0,2,22,"{""definition"": 6, ""code"": 1, ""frame"": 6, ""p"": 2, ""memory"": 4, ""expression"": 2, ""bt"": 1}",5753,78.035,3515,bench/results/full-synthetic-v1-stripped/heap-overflow-csv__tier3__openrouter_openai_gpt-5.5__tier3_gdb_only__ctx10__t1
full-synthetic-v1-stripped,intoverflow-alloc,gpt-5.5,1,1,1,3,9,"{""code"": 3, ""definition"": 2, ""frame"": 1, ""p"": 3}",4632,58.751,5429,bench/results/full-synthetic-v1-stripped/intoverflow-alloc__tier3__openrouter_openai_gpt-5.5__tier3_gdb_only__ctx10__t1
full-synthetic-v1-stripped,signed-unsigned-loop,gemini-3.1-flash-lite-preview,1,1,1,3,7,"{""run"": 1, ""frame"": 1, ""p"": 4, ""up"": 1}",2531,16.313,2387,bench/results/full-synthetic-v1-stripped/signed-unsigned-loop__tier3__openrouter_google_gemini-3.1-flash-lite-preview__tier3_gdb_only__ctx10__t1
full-synthetic-v1-stripped,uaf-linked-list,nemotron-3-nano-30b-a3b,1,1,1,3,0,{},3465,29.771,4953,bench/results/full-synthetic-v1-stripped/uaf-linked-list__tier3__openrouter_nvidia_nemotron-3-nano-30b-a3b__tier3_gdb_only__ctx10__t1
full-synthetic-v1-stripped,null-deref-env,nemotron-3-nano-30b-a3b,1,1,1,3,0,{},3193,22.098,6113,bench/results/full-synthetic-v1-stripped/null-deref-env__tier3__openrouter_nvidia_nemotron-3-nano-30b-a3b__tier3_gdb_only__ctx10__t1
full-synthetic-v1-stripped,intoverflow-alloc,qwen3-30b-a3b-instruct-2507,1,1,1,3,7,"{""print"": 4, ""code"": 2, ""definition"": 1}",8706,115.755,18499,bench/results/full-synthetic-v1-stripped/intoverflow-alloc__tier3__openrouter_qwen_qwen3-30b-a3b-instruct-2507__tier3_gdb_only__ctx10__t1
full-synthetic-v1-stripped,double-free-errpath,gpt-5.5,1,1,1,3,17,"{""code"": 4, ""definition"": 3, ""frame"": 3, ""p"": 3, ""bt"": 1, ""p/x"": 1, ""register"": 1, ""image"": 1}",5027,61.818,5174,bench/results/full-synthetic-v1-stripped/double-free-errpath__tier3__openrouter_openai_gpt-5.5__tier3_gdb_only__ctx10__t1
full-synthetic-v1-stripped,uninit-stack-accumulator,nemotron-3-nano-30b-a3b,0,0,0,0,4,"{""bt"": 2, ""list"": 1, ""p"": 1}",13678,99.241,4,bench/results/full-synthetic-v1-stripped/uninit-stack-accumulator__tier3__openrouter_nvidia_nemotron-3-nano-30b-a3b__tier3_gdb_only__ctx10__t1
full-synthetic-v1-stripped,uaf-linked-list,qwen3-30b-a3b-instruct-2507,1,1,1,3,10,"{""frame"": 6, ""print"": 4}",3288,23.618,5382,bench/results/full-synthetic-v1-stripped/uaf-linked-list__tier3__openrouter_qwen_qwen3-30b-a3b-instruct-2507__tier3_gdb_only__ctx10__t1
full-synthetic-v1-stripped,off-by-one-crc,gpt-5.5,1,1,0,2,16,"{""definition"": 3, ""frame"": 3, ""p"": 8, ""bt"": 1, ""fr"": 1}",4455,43.629,3428,bench/results/full-synthetic-v1-stripped/off-by-one-crc__tier3__openrouter_openai_gpt-5.5__tier3_gdb_only__ctx10__t1
full-synthetic-v1-stripped,uaf-linked-list,gemini-3.1-flash-lite-preview,1,1,1,3,7,"{""frame"": 4, ""p"": 1, ""step"": 1, ""next"": 1}",2510,13.431,2348,bench/results/full-synthetic-v1-stripped/uaf-linked-list__tier3__openrouter_google_gemini-3.1-flash-lite-preview__tier3_gdb_only__ctx10__t1
full-synthetic-v1-stripped,intoverflow-alloc,gemini-3.1-flash-lite-preview,0,0,0,0,24,"{""run"": 1, ""code"": 23}",1470,26.32,24,bench/results/full-synthetic-v1-stripped/intoverflow-alloc__tier3__openrouter_google_gemini-3.1-flash-lite-preview__tier3_gdb_only__ctx10__t1
full-synthetic-v1-stripped,heap-overflow-csv,gemini-3.1-flash-lite-preview,0,0,0,0,6,"{""frame"": 1, ""p"": 4, ""p/d"": 1}",1647,11.212,6,bench/results/full-synthetic-v1-stripped/heap-overflow-csv__tier3__openrouter_google_gemini-3.1-flash-lite-preview__tier3_gdb_only__ctx10__t1
full-synthetic-v1-stripped,null-deref-env,gemini-3.1-flash-lite-preview,1,1,0,2,9,"{""frame"": 8, ""print"": 1}",2099,14.566,2131,bench/results/full-synthetic-v1-stripped/null-deref-env__tier3__openrouter_google_gemini-3.1-flash-lite-preview__tier3_gdb_only__ctx10__t1
full-synthetic-v1-stripped,uaf-linked-list,gpt-5.5,1,1,1,3,12,"{""definition"": 3, ""frame"": 4, ""p"": 1, ""bt"": 1, ""expression"": 2, ""register"": 1}",4017,47.972,4204,bench/results/full-synthetic-v1-stripped/uaf-linked-list__tier3__openrouter_openai_gpt-5.5__tier3_gdb_only__ctx10__t1
full-synthetic-v1-stripped,double-free-errpath,gemini-3.1-flash-lite-preview,0,0,0,0,15,"{""code"": 15}",1707,26.707,15,bench/results/full-synthetic-v1-stripped/double-free-errpath__tier3__openrouter_google_gemini-3.1-flash-lite-preview__tier3_gdb_only__ctx10__t1
full-synthetic-v1-stripped,signed-unsigned-loop,qwen3-30b-a3b-instruct-2507,1,1,1,3,9,"{""frame"": 4, ""code"": 2, ""definition"": 1, ""thread"": 1, ""expr"": 1}",3762,27.853,5414,bench/results/full-synthetic-v1-stripped/signed-unsigned-loop__tier3__openrouter_qwen_qwen3-30b-a3b-instruct-2507__tier3_gdb_only__ctx10__t1
full-synthetic-v1-stripped,heap-overflow-csv,qwen3-30b-a3b-instruct-2507,1,1,1,3,14,"{""frame"": 9, ""code"": 2, ""definition"": 3}",3645,24.324,4038,bench/results/full-synthetic-v1-stripped/heap-overflow-csv__tier3__openrouter_qwen_qwen3-30b-a3b-instruct-2507__tier3_gdb_only__ctx10__t1
full-synthetic-v1-stripped,uninit-stack-accumulator,qwen3-30b-a3b-instruct-2507,0,0,0,0,8,"{""bt"": 1, ""code"": 3, ""info"": 2, ""file"": 1, ""image"": 1}",2147,24.652,5182,bench/results/full-synthetic-v1-stripped/uninit-stack-accumulator__tier3__openrouter_qwen_qwen3-30b-a3b-instruct-2507__tier3_gdb_only__ctx10__t1
full-synthetic-v1-stripped,off-by-one-crc,gemini-3.1-flash-lite-preview,0,0,0,0,3,"{""frame"": 1, ""p"": 2}",1803,8.09,3,bench/results/full-synthetic-v1-stripped/off-by-one-crc__tier3__openrouter_google_gemini-3.1-flash-lite-preview__tier3_gdb_only__ctx10__t1
full-synthetic-v1-stripped,signed-unsigned-loop,gpt-5.5,1,1,1,3,22,"{""definition"": 9, ""frame"": 7, ""code"": 1, ""p"": 2, ""bt"": 1, ""register"": 1, ""disassemble"": 1}",5364,69.914,3863,bench/results/full-synthetic-v1-stripped/signed-unsigned-loop__tier3__openrouter_openai_gpt-5.5__tier3_gdb_only__ctx10__t1
full-synthetic-v1-stripped,null-deref-env,qwen3-30b-a3b-instruct-2507,1,1,0,2,9,"{""frame"": 4, ""definition"": 1, ""code"": 2, ""expr"": 2}",3540,29.94,4782,bench/results/full-synthetic-v1-stripped/null-deref-env__tier3__openrouter_qwen_qwen3-30b-a3b-instruct-2507__tier3_gdb_only__ctx10__t1
full-synthetic-v1-stripped,double-free-errpath,nemotron-3-nano-30b-a3b,1,0,1,2,0,{},5229,73.826,5856,bench/results/full-synthetic-v1-stripped/double-free-errpath__tier3__openrouter_nvidia_nemotron-3-nano-30b-a3b__tier3_gdb_only__ctx10__t1
full-synthetic-v1-stripped,signed-unsigned-loop,nemotron-3-nano-30b-a3b,1,1,1,3,0,{},4454,40.845,6537,bench/results/full-synthetic-v1-stripped/signed-unsigned-loop__tier3__openrouter_nvidia_nemotron-3-nano-30b-a3b__tier3_gdb_only__ctx10__t1
injected-cases,cjson-parse-string-oob,qwen3-30b-a3b-instruct-2507,1,1,1,3,12,"{""frame"": 6, ""code"": 2, ""definition"": 4}",4538,24.561,7734,bench/results/injected-cases/cjson-parse-string-oob__tier3__openrouter_qwen_qwen3-30b-a3b-instruct-2507__tier3_gdb_only__ctx10__t1
injected-cases,cjson-parse-string-oob,gemini-3.1-flash-lite-preview,0,0,0,0,20,"{""code"": 12, ""frame"": 4, ""p"": 3, ""p/x"": 1}",2246,26.169,20,bench/results/injected-cases/cjson-parse-string-oob__tier3__openrouter_google_gemini-3.1-flash-lite-preview__tier3_gdb_only__ctx10__t1
injected-cases,cjson-parse-string-oob,gpt-5.5,1,1,1,3,59,"{""code"": 34, ""definition"": 11, ""frame"": 5, ""p"": 6, ""x/8cb"": 1, ""bt"": 1, ""fr"": 1}",11909,245.415,7091,bench/results/injected-cases/cjson-parse-string-oob__tier3__openrouter_openai_gpt-5.5__tier3_gdb_only__ctx10__t1
injected-cases,cjson-parse-string-oob,nemotron-3-nano-30b-a3b,1,1,1,3,3,"{""code"": 3}",4667,58.675,7418,bench/results/injected-cases/cjson-parse-string-oob__tier3__openrouter_nvidia_nemotron-3-nano-30b-a3b__tier3_gdb_only__ctx10__t1
paper-cases,test-stack-overflow,gemini-3.1-flash-lite-preview,1,1,1,3,2,"{""code"": 2}",2287,13.493,1868,bench/results/paper-cases/test-stack-overflow__tier3__openrouter_google_gemini-3.1-flash-lite-preview__tier3_gdb_only__ctx10__t1
paper-cases,test-use-after-free,qwen3-30b-a3b-instruct-2507,1,1,1,3,6,"{""frame"": 2, ""code"": 2, ""definition"": 2}",3287,20.098,5671,bench/results/paper-cases/test-use-after-free__tier3__openrouter_qwen_qwen3-30b-a3b-instruct-2507__tier3_gdb_only__ctx10__t1
paper-cases,test-use-after-free,gemini-3.1-flash-lite-preview,0,0,0,0,20,"{""run"": 1, ""frame"": 12, ""p"": 1, ""code"": 5, ""expr"": 1}",1966,26.529,2058,bench/results/paper-cases/test-use-after-free__tier3__openrouter_google_gemini-3.1-flash-lite-preview__tier3_gdb_only__ctx10__t1
paper-cases,test-failed-assert,nemotron-3-nano-30b-a3b,1,1,1,3,0,{},3005,35.917,3391,bench/results/paper-cases/test-failed-assert__tier3__openrouter_nvidia_nemotron-3-nano-30b-a3b__tier3_gdb_only__ctx10__t1
paper-cases,test-stack-overflow,gpt-5.5,1,1,1,3,4,"{""code"": 1, ""definition"": 3}",3408,38.91,3566,bench/results/paper-cases/test-stack-overflow__tier3__openrouter_openai_gpt-5.5__tier3_gdb_only__ctx10__t1
paper-cases,test-out-of-bounds-read,qwen3-30b-a3b-instruct-2507,1,1,1,3,6,"{""print"": 3, ""code"": 1, ""definition"": 2}",2744,29.506,3548,bench/results/paper-cases/test-out-of-bounds-read__tier3__openrouter_qwen_qwen3-30b-a3b-instruct-2507__tier3_gdb_only__ctx10__t1
paper-cases,test-out-of-bounds-read,gpt-5.5,1,1,1,3,8,"{""code"": 1, ""definition"": 2, ""frame"": 1, ""p"": 4}",3040,33.42,3277,bench/results/paper-cases/test-out-of-bounds-read__tier3__openrouter_openai_gpt-5.5__tier3_gdb_only__ctx10__t1
paper-cases,test-failed-assert,qwen3-30b-a3b-instruct-2507,1,1,1,3,10,"{""frame"": 3, ""code"": 3, ""definition"": 1, ""print"": 2, ""eval"": 1}",3073,21.472,3038,bench/results/paper-cases/test-failed-assert__tier3__openrouter_qwen_qwen3-30b-a3b-instruct-2507__tier3_gdb_only__ctx10__t1
paper-cases,test-use-after-free,gpt-5.5,1,1,1,3,6,"{""code"": 1, ""definition"": 2, ""frame"": 1, ""expression"": 2}",2581,34.535,3305,bench/results/paper-cases/test-use-after-free__tier3__openrouter_openai_gpt-5.5__tier3_gdb_only__ctx10__t1
paper-cases,test-overflow,gpt-5.5,1,1,1,3,21,"{""bt"": 1, ""target"": 1, ""thread"": 1, ""run"": 1, ""image"": 1, ""frame"": 1, ""source"": 2, ""settings"": 1, ""help"": 3, ""r"": 1, ""platform"": 1, ""why"": 1, ""file"": 1, ""process"": 1, ""code"": 1, ""definition"": 3}",5415,88.427,3170,bench/results/paper-cases/test-overflow__tier3__openrouter_openai_gpt-5.5__tier3_gdb_only__ctx10__t1
paper-cases,test-overflow,gemini-3.1-flash-lite-preview,0,0,0,0,29,"{""run"": 1, ""bt"": 3, ""process"": 3, ""ls"": 17, ""frame"": 2, ""platform"": 3}",1357,28.102,29,bench/results/paper-cases/test-overflow__tier3__openrouter_google_gemini-3.1-flash-lite-preview__tier3_gdb_only__ctx10__t1
paper-cases,test-stack-overflow,nemotron-3-nano-30b-a3b,1,1,1,3,1,"{""code"": 1}",3766,58.969,4370,bench/results/paper-cases/test-stack-overflow__tier3__openrouter_nvidia_nemotron-3-nano-30b-a3b__tier3_gdb_only__ctx10__t1
paper-cases,test-out-of-bounds-read,nemotron-3-nano-30b-a3b,1,1,0,2,0,{},2612,34.915,3835,bench/results/paper-cases/test-out-of-bounds-read__tier3__openrouter_nvidia_nemotron-3-nano-30b-a3b__tier3_gdb_only__ctx10__t1
paper-cases,test-failed-assert,gemini-3.1-flash-lite-preview,1,1,0,2,12,"{""p"": 9, ""p/f"": 1, ""up"": 1, ""frame"": 1}",2021,17.622,1945,bench/results/paper-cases/test-failed-assert__tier3__openrouter_google_gemini-3.1-flash-lite-preview__tier3_gdb_only__ctx10__t1
paper-cases,test-overflow,qwen3-30b-a3b-instruct-2507,0,0,0,0,5,"{""bt"": 1, ""process"": 1, ""target"": 1, ""code"": 2}",1540,16.944,2437,bench/results/paper-cases/test-overflow__tier3__openrouter_qwen_qwen3-30b-a3b-instruct-2507__tier3_gdb_only__ctx10__t1
paper-cases,test-use-after-free,nemotron-3-nano-30b-a3b,1,1,1,3,0,{},3251,28.89,5262,bench/results/paper-cases/test-use-after-free__tier3__openrouter_nvidia_nemotron-3-nano-30b-a3b__tier3_gdb_only__ctx10__t1
paper-cases,test-failed-assert,gpt-5.5,1,1,1,3,3,"{""frame"": 1, ""definition"": 1, ""code"": 1}",3194,46.367,4222,bench/results/paper-cases/test-failed-assert__tier3__openrouter_openai_gpt-5.5__tier3_gdb_only__ctx10__t1
paper-cases,test-stack-overflow,qwen3-30b-a3b-instruct-2507,1,1,1,3,4,"{""frame"": 1, ""code"": 1, ""definition"": 1, ""thread"": 1}",2944,26.626,3745,bench/results/paper-cases/test-stack-overflow__tier3__openrouter_qwen_qwen3-30b-a3b-instruct-2507__tier3_gdb_only__ctx10__t1
paper-cases,test-out-of-bounds-read,gemini-3.1-flash-lite-preview,1,1,0,2,9,"{""frame"": 4, ""print"": 1, ""p"": 3, ""run"": 1}",1900,17.461,1874,bench/results/paper-cases/test-out-of-bounds-read__tier3__openrouter_google_gemini-3.1-flash-lite-preview__tier3_gdb_only__ctx10__t1
paper-cases,test-overflow,nemotron-3-nano-30b-a3b,0,0,0,0,1,"{""bt"": 1}",341,23.715,1,bench/results/paper-cases/test-overflow__tier3__openrouter_nvidia_nemotron-3-nano-30b-a3b__tier3_gdb_only__ctx10__t1
new-cases,vector-iter-after-pushback,gpt-5.5,1,1,1,3,17,"{""code"": 2, ""definition"": 3, ""frame"": 4, ""p"": 4, ""expr"": 4}",4122,45.312,4046,bench/results/new-cases/vector-iter-after-pushback__tier3__openrouter_openai_gpt-5.5__tier3_gdb_only__ctx10__t1
new-cases,stack-buffer-overflow-strcpy,gpt-5.5,1,1,1,3,19,"{""definition"": 4, ""frame"": 7, ""p"": 3, ""x/s"": 2, ""bt"": 1, ""expression"": 2}",4346,41.57,2998,bench/results/new-cases/stack-buffer-overflow-strcpy__tier3__openrouter_openai_gpt-5.5__tier3_gdb_only__ctx10__t1
new-cases,shift-int-overflow,nemotron-3-nano-30b-a3b,1,0,1,2,0,{},3812,25.923,6427,bench/results/new-cases/shift-int-overflow__tier3__openrouter_nvidia_nemotron-3-nano-30b-a3b__tier3_gdb_only__ctx10__t1
new-cases,stack-buffer-overflow-strcpy,qwen3-30b-a3b-instruct-2507,1,1,1,3,7,"{""print"": 2, ""code"": 1, ""definition"": 2, ""expression"": 1, ""backtrace"": 1}",3689,50.412,5755,bench/results/new-cases/stack-buffer-overflow-strcpy__tier3__openrouter_qwen_qwen3-30b-a3b-instruct-2507__tier3_gdb_only__ctx10__t1
new-cases,vector-iter-after-pushback,nemotron-3-nano-30b-a3b,1,1,1,3,0,{},3427,25.118,6073,bench/results/new-cases/vector-iter-after-pushback__tier3__openrouter_nvidia_nemotron-3-nano-30b-a3b__tier3_gdb_only__ctx10__t1
new-cases,stack-buffer-overflow-strcpy,gemini-3.1-flash-lite-preview,0,0,0,0,14,"{""frame"": 7, ""p"": 5, ""p/s"": 1, ""fr"": 1}",1894,15.543,14,bench/results/new-cases/stack-buffer-overflow-strcpy__tier3__openrouter_google_gemini-3.1-flash-lite-preview__tier3_gdb_only__ctx10__t1
new-cases,shift-int-overflow,gpt-5.5,1,1,1,3,17,"{""definition"": 3, ""frame"": 6, ""bt"": 1, ""code"": 1, ""expr"": 4, ""p"": 2}",5217,51.853,6184,bench/results/new-cases/shift-int-overflow__tier3__openrouter_openai_gpt-5.5__tier3_gdb_only__ctx10__t1
new-cases,stack-buffer-overflow-strcpy,nemotron-3-nano-30b-a3b,1,1,1,3,0,{},3645,23.952,5707,bench/results/new-cases/stack-buffer-overflow-strcpy__tier3__openrouter_nvidia_nemotron-3-nano-30b-a3b__tier3_gdb_only__ctx10__t1
new-cases,vector-iter-after-pushback,qwen3-30b-a3b-instruct-2507,1,1,1,3,10,"{""frame"": 3, ""code"": 1, ""definition"": 1, ""expression"": 3, ""print"": 2}",3282,41.922,5406,bench/results/new-cases/vector-iter-after-pushback__tier3__openrouter_qwen_qwen3-30b-a3b-instruct-2507__tier3_gdb_only__ctx10__t1
new-cases,shift-int-overflow,gemini-3.1-flash-lite-preview,1,1,0,2,11,"{""frame"": 9, ""p"": 2}",2429,83.578,2119,bench/results/new-cases/shift-int-overflow__tier3__openrouter_google_gemini-3.1-flash-lite-preview__tier3_gdb_only__ctx10__t1
new-cases,shift-int-overflow,qwen3-30b-a3b-instruct-2507,1,1,1,3,7,"{""definition"": 1, ""print"": 5, ""code"": 1}",3914,65.797,7122,bench/results/new-cases/shift-int-overflow__tier3__openrouter_qwen_qwen3-30b-a3b-instruct-2507__tier3_gdb_only__ctx10__t1
new-cases,vector-iter-after-pushback,gemini-3.1-flash-lite-preview,1,1,1,3,5,"{""frame"": 5}",1828,12.75,2533,bench/results/new-cases/vector-iter-after-pushback__tier3__openrouter_google_gemini-3.1-flash-lite-preview__tier3_gdb_only__ctx10__t1
