owner,case_id,tier,model,status,elapsed_s,tool_calls,response_len,has_rc,has_lf,has_gf,response_source,has_collect
anika,juliet-cwe416-malloc-free-char-01,1,meta-llama/llama-3.1-8b-instruct,ok,16.495,3,707,True,True,True,recovered_from_tool_output,True
anika,man-overflow,1,meta-llama/llama-3.1-8b-instruct,build_failed,0.0,,0,False,False,False,,False
anika,ncompress-overflow,1,meta-llama/llama-3.1-8b-instruct,ok,13.665,3,0,False,False,False,,True
anika,polymorph-overflow,1,meta-llama/llama-3.1-8b-instruct,ok,10.811,2,0,False,False,False,,True
anika,bc-heap-overflow,1,nvidia/nemotron-3-nano-30b-a3b,ok,37.019,6,1925,True,True,True,recovered_from_tool_output,True
anika,berry-1,1,nvidia/nemotron-3-nano-30b-a3b,timeout,601.459,,0,False,False,False,,False
anika,berry-2,1,nvidia/nemotron-3-nano-30b-a3b,ok,266.861,17,974,True,True,True,recovered_from_tool_output,True
anika,berry-3,1,nvidia/nemotron-3-nano-30b-a3b,timeout,601.532,,0,False,False,False,,False
anika,berry-4,1,nvidia/nemotron-3-nano-30b-a3b,timeout,601.577,,0,False,False,False,,False
anika,berry-5,1,nvidia/nemotron-3-nano-30b-a3b,timeout,601.609,,0,False,False,False,,False
anika,crashbench-abo2,1,nvidia/nemotron-3-nano-30b-a3b,timeout,601.701,,0,False,False,False,,False
anika,crashbench-abo3,1,nvidia/nemotron-3-nano-30b-a3b,timeout,601.702,,0,False,False,False,,False
anika,crashbench-abo5,1,nvidia/nemotron-3-nano-30b-a3b,timeout,601.675,,0,False,False,False,,False
anika,crashbench-abo7,1,nvidia/nemotron-3-nano-30b-a3b,timeout,601.685,,0,False,False,False,,False
anika,man-overflow,1,nvidia/nemotron-3-nano-30b-a3b,build_failed,0.0,,0,False,False,False,,False
anika,ncompress-overflow,1,nvidia/nemotron-3-nano-30b-a3b,timeout,9085.768,,0,False,False,False,,False
anika,polymorph-overflow,1,nvidia/nemotron-3-nano-30b-a3b,timeout,9085.773,,0,False,False,False,,False
anika,crashbench-abo1,1,openai/gpt-4o,ok,63.03,5,1255,True,True,True,,True
anika,crashbench-abo2,1,openai/gpt-4o,ok,40.6,6,844,True,True,True,,True
anika,crashbench-abo3,1,openai/gpt-4o,ok,14.738,6,961,True,True,True,recovered_from_tool_output,True
anika,crashbench-abo5,1,openai/gpt-4o,ok,64.031,6,2180,True,True,True,recovered_from_tool_output_partial_prose,True
anika,crashbench-abo7,1,openai/gpt-4o,ok,53.847,5,913,True,True,True,recovered_from_tool_output,True
anika,crashbench-abo8,1,openai/gpt-4o,ok,47.797,5,955,True,True,True,recovered_from_tool_output,True
anika,juliet-cwe121-char-type-overrun-memcpy-01,1,openai/gpt-4o,ok,36.385,6,1410,True,True,True,,True
anika,juliet-cwe122-char-type-overrun-memcpy-01,1,openai/gpt-4o,ok,56.6,6,1006,True,True,True,recovered_from_tool_output,True
anika,juliet-cwe126-char-alloca-loop-01,1,openai/gpt-4o,ok,32.34,6,934,True,True,True,recovered_from_tool_output,True
anika,juliet-cwe415-malloc-free-char-01,1,openai/gpt-4o,ok,56.3,5,865,True,True,True,recovered_from_tool_output,True
anika,juliet-cwe416-malloc-free-char-01,1,openai/gpt-4o,ok,29.71,5,878,True,True,True,recovered_from_tool_output,True
anika,ncompress-overflow,1,openai/gpt-4o,ok,35.393,7,1220,True,True,True,recovered_from_tool_output,True
anika,bc-heap-overflow,1,openai/gpt-5.5,ok,83.656,7,4650,True,True,True,recovered_from_tool_output_partial_prose,True
anika,crashbench-abo3,1,openai/gpt-5.5,ok,41.345,6,1999,True,True,True,recovered_from_tool_output_partial_prose,True
anika,man-overflow,1,openai/gpt-5.5,build_failed,0.0,,0,False,False,False,,False
anika,ncompress-overflow,1,openai/gpt-5.5,ok,42.234,5,3686,True,True,True,recovered_from_tool_output_partial_prose,True
anika,polymorph-overflow,1,openai/gpt-5.5,ok,60.242,5,4278,True,True,True,recovered_from_tool_output_partial_prose,True
anika,berry-5,1,qwen/qwen3-30b-a3b-instruct-2507,ok,21.056,7,4929,True,True,True,recovered_from_tool_output_partial_prose,True
anika,crashbench-abo3,1,qwen/qwen3-30b-a3b-instruct-2507,ok,15.925,5,2931,True,True,True,recovered_from_tool_output_partial_prose,True
anika,crashbench-abo5,1,qwen/qwen3-30b-a3b-instruct-2507,ok,26.101,6,0,False,False,False,,True
anika,juliet-cwe415-malloc-free-char-01,1,qwen/qwen3-30b-a3b-instruct-2507,ok,20.229,6,2090,True,True,True,recovered_from_tool_output_partial_prose,True
anika,ncompress-overflow,1,qwen/qwen3-30b-a3b-instruct-2507,timeout,778.243,,0,False,False,False,,False
ibraheem,bc-heap-overflow,1,anthropic/claude-sonnet-4.5,ok,207.166,36,13774,True,True,True,,True
ibraheem,berry-1,1,anthropic/claude-sonnet-4.5,ok,89.895,34,5327,True,True,True,,True
ibraheem,berry-2,1,anthropic/claude-sonnet-4.5,ok,94.323,32,6975,True,True,True,,True
ibraheem,berry-3,1,anthropic/claude-sonnet-4.5,ok,389.394,54,53088,True,True,True,,True
ibraheem,berry-4,1,anthropic/claude-sonnet-4.5,ok,77.293,18,7278,True,True,True,,True
ibraheem,berry-5,1,anthropic/claude-sonnet-4.5,ok,107.518,26,6863,True,True,True,,True
ibraheem,crashbench-abo2,1,anthropic/claude-sonnet-4.5,ok,58.05,7,2698,True,True,True,,True
ibraheem,crashbench-abo8,1,anthropic/claude-sonnet-4.5,ok,38.234,7,2943,True,True,True,,True
ibraheem,man-overflow,1,anthropic/claude-sonnet-4.5,build_failed,0.0,,0,False,False,False,,False
ibraheem,ncompress-overflow,1,anthropic/claude-sonnet-4.5,build_failed,0.0,,0,False,False,False,,False
ibraheem,polymorph-overflow,1,anthropic/claude-sonnet-4.5,build_failed,0.0,,0,False,False,False,,False
ibraheem,bc-heap-overflow,1,google/gemini-2.5-flash,ok,59.347,23,21249,True,True,True,,True
ibraheem,crashbench-abo1,1,google/gemini-2.5-flash,ok,7.616,4,2404,True,True,True,,True
ibraheem,crashbench-abo2,1,google/gemini-2.5-flash,ok,8.59,5,2156,True,True,True,,True
ibraheem,crashbench-abo3,1,google/gemini-2.5-flash,ok,9.008,4,1916,True,True,True,,True
ibraheem,crashbench-abo5,1,google/gemini-2.5-flash,ok,8.595,4,2917,True,True,True,,True
ibraheem,crashbench-abo7,1,google/gemini-2.5-flash,ok,9.628,4,2601,True,True,True,,True
ibraheem,crashbench-abo8,1,google/gemini-2.5-flash,ok,10.118,4,1799,True,True,True,,True
ibraheem,juliet-cwe121-char-type-overrun-memcpy-01,1,google/gemini-2.5-flash,ok,15.2,6,3918,True,True,True,,True
ibraheem,juliet-cwe122-char-type-overrun-memcpy-01,1,google/gemini-2.5-flash,ok,10.741,6,4140,True,True,True,,True
ibraheem,juliet-cwe126-char-alloca-loop-01,1,google/gemini-2.5-flash,ok,8.414,4,2525,True,True,True,,True
ibraheem,juliet-cwe415-malloc-free-char-01,1,google/gemini-2.5-flash,ok,6.951,4,1896,True,True,True,,True
ibraheem,juliet-cwe416-malloc-free-char-01,1,google/gemini-2.5-flash,ok,10.388,4,2047,True,True,True,,True
ibraheem,man-overflow,1,google/gemini-2.5-flash,build_failed,0.0,,0,False,False,False,,False
ibraheem,ncompress-overflow,1,google/gemini-2.5-flash,build_failed,0.0,,0,False,False,False,,False
ibraheem,polymorph-overflow,1,google/gemini-2.5-flash,build_failed,0.0,,0,False,False,False,,False
ibraheem,bc-heap-overflow,1,google/gemini-3.1-flash-lite-preview,ok,12.743,13,1210,True,True,True,recovered_from_tool_output,True
ibraheem,berry-1,1,google/gemini-3.1-flash-lite-preview,ok,16.574,18,752,True,True,True,recovered_from_tool_output,True
ibraheem,berry-2,1,google/gemini-3.1-flash-lite-preview,ok,52.094,54,0,False,False,False,,True
ibraheem,berry-3,1,google/gemini-3.1-flash-lite-preview,ok,11.898,13,0,False,False,False,,True
ibraheem,berry-4,1,google/gemini-3.1-flash-lite-preview,ok,10.62,10,0,False,False,False,,True
ibraheem,berry-5,1,google/gemini-3.1-flash-lite-preview,ok,24.409,24,943,True,True,True,,True
ibraheem,man-overflow,1,google/gemini-3.1-flash-lite-preview,build_failed,0.0,,0,False,False,False,,False
ibraheem,ncompress-overflow,1,google/gemini-3.1-flash-lite-preview,build_failed,0.0,,0,False,False,False,,False
ibraheem,polymorph-overflow,1,google/gemini-3.1-flash-lite-preview,build_failed,0.0,,0,False,False,False,,False
ibraheem,bc-heap-overflow,1,meta-llama/llama-3.1-8b-instruct,ok,53.685,99,0,False,False,False,,True
ibraheem,crashbench-abo1,1,meta-llama/llama-3.1-8b-instruct,ok,4.392,4,0,False,False,False,,True
ibraheem,crashbench-abo2,1,meta-llama/llama-3.1-8b-instruct,ok,3.919,4,0,False,False,False,,True
ibraheem,crashbench-abo3,1,meta-llama/llama-3.1-8b-instruct,ok,4.024,4,0,False,False,False,,True
ibraheem,crashbench-abo5,1,meta-llama/llama-3.1-8b-instruct,ok,529.917,179,0,False,False,False,,True
ibraheem,crashbench-abo7,1,meta-llama/llama-3.1-8b-instruct,ok,4.187,4,0,False,False,False,,True
ibraheem,crashbench-abo8,1,meta-llama/llama-3.1-8b-instruct,ok,5.8,6,0,False,False,False,,True
ibraheem,juliet-cwe121-char-type-overrun-memcpy-01,1,meta-llama/llama-3.1-8b-instruct,ok,11.972,6,0,False,False,False,,True
ibraheem,juliet-cwe122-char-type-overrun-memcpy-01,1,meta-llama/llama-3.1-8b-instruct,ok,14.621,7,0,False,False,False,,True
ibraheem,juliet-cwe126-char-alloca-loop-01,1,meta-llama/llama-3.1-8b-instruct,ok,12.498,6,0,False,False,False,,True
ibraheem,juliet-cwe415-malloc-free-char-01,1,meta-llama/llama-3.1-8b-instruct,ok,13.024,6,0,False,False,False,,True
ibraheem,juliet-cwe416-malloc-free-char-01,1,meta-llama/llama-3.1-8b-instruct,ok,9.361,5,0,False,False,False,,True
ibraheem,man-overflow,1,meta-llama/llama-3.1-8b-instruct,build_failed,0.0,,0,False,False,False,,False
ibraheem,ncompress-overflow,1,meta-llama/llama-3.1-8b-instruct,build_failed,0.0,,0,False,False,False,,False
ibraheem,polymorph-overflow,1,meta-llama/llama-3.1-8b-instruct,build_failed,0.0,,0,False,False,False,,False
ibraheem,bc-heap-overflow,1,nvidia/nemotron-3-nano-30b-a3b,timeout,600.063,,0,False,False,False,,False
ibraheem,berry-1,1,nvidia/nemotron-3-nano-30b-a3b,timeout,600.054,,0,False,False,False,,False
ibraheem,berry-2,1,nvidia/nemotron-3-nano-30b-a3b,timeout,600.066,,0,False,False,False,,False
ibraheem,berry-3,1,nvidia/nemotron-3-nano-30b-a3b,timeout,600.109,,0,False,False,False,,False
ibraheem,berry-4,1,nvidia/nemotron-3-nano-30b-a3b,timeout,600.097,,0,False,False,False,,False
ibraheem,berry-5,1,nvidia/nemotron-3-nano-30b-a3b,timeout,600.032,,0,False,False,False,,False
ibraheem,crashbench-abo2,1,nvidia/nemotron-3-nano-30b-a3b,timeout,600.071,,0,False,False,False,,False
ibraheem,crashbench-abo3,1,nvidia/nemotron-3-nano-30b-a3b,timeout,600.095,,0,False,False,False,,False
ibraheem,crashbench-abo5,1,nvidia/nemotron-3-nano-30b-a3b,timeout,600.103,,0,False,False,False,,False
ibraheem,crashbench-abo7,1,nvidia/nemotron-3-nano-30b-a3b,timeout,600.069,,0,False,False,False,,False
ibraheem,man-overflow,1,nvidia/nemotron-3-nano-30b-a3b,build_failed,0.0,,0,False,False,False,,False
ibraheem,ncompress-overflow,1,nvidia/nemotron-3-nano-30b-a3b,build_failed,0.0,,0,False,False,False,,False
ibraheem,polymorph-overflow,1,nvidia/nemotron-3-nano-30b-a3b,build_failed,0.0,,0,False,False,False,,False
ibraheem,crashbench-abo1,1,openai/gpt-4o,timeout,600.064,,0,False,False,False,,False
ibraheem,crashbench-abo2,1,openai/gpt-4o,timeout,600.113,,0,False,False,False,,False
ibraheem,crashbench-abo3,1,openai/gpt-4o,timeout,600.019,,0,False,False,False,,False
ibraheem,crashbench-abo5,1,openai/gpt-4o,ok,194.907,5,1277,True,True,True,,True
ibraheem,crashbench-abo7,1,openai/gpt-4o,ok,541.863,4,706,False,False,False,,True
ibraheem,crashbench-abo8,1,openai/gpt-4o,timeout,600.029,,0,False,False,False,,False
ibraheem,juliet-cwe121-char-type-overrun-memcpy-01,1,openai/gpt-4o,ok,15.271,4,1601,True,True,True,,True
ibraheem,juliet-cwe122-char-type-overrun-memcpy-01,1,openai/gpt-4o,timeout,600.019,,0,False,False,False,,False
ibraheem,juliet-cwe126-char-alloca-loop-01,1,openai/gpt-4o,timeout,600.108,,0,False,False,False,,False
ibraheem,juliet-cwe415-malloc-free-char-01,1,openai/gpt-4o,ok,375.118,4,1488,True,True,True,,True
ibraheem,juliet-cwe416-malloc-free-char-01,1,openai/gpt-4o,timeout,600.041,,0,False,False,False,,False
ibraheem,ncompress-overflow,1,openai/gpt-4o,build_failed,0.0,,0,False,False,False,,False
ibraheem,bc-heap-overflow,1,openai/gpt-5.5,ok,173.629,12,5363,True,True,True,,True
ibraheem,crashbench-abo3,1,openai/gpt-5.5,ok,27.688,5,2332,True,True,True,,True
ibraheem,man-overflow,1,openai/gpt-5.5,build_failed,0.0,,0,False,False,False,,False
ibraheem,ncompress-overflow,1,openai/gpt-5.5,build_failed,0.0,,0,False,False,False,,False
ibraheem,polymorph-overflow,1,openai/gpt-5.5,build_failed,0.0,,0,False,False,False,,False
ibraheem,berry-5,1,qwen/qwen3-30b-a3b-instruct-2507,timeout,600.107,,0,False,False,False,,False
ibraheem,crashbench-abo3,1,qwen/qwen3-30b-a3b-instruct-2507,ok,33.573,5,0,False,False,False,,True
ibraheem,crashbench-abo5,1,qwen/qwen3-30b-a3b-instruct-2507,ok,59.055,8,0,False,False,False,,True
ibraheem,juliet-cwe415-malloc-free-char-01,1,qwen/qwen3-30b-a3b-instruct-2507,ok,79.016,4,2185,True,True,True,,True
ibraheem,ncompress-overflow,1,qwen/qwen3-30b-a3b-instruct-2507,build_failed,0.0,,0,False,False,False,,False
