case_id,tier,model,status,elapsed_s,tool_calls,response_len,has_rc,has_lf,has_gf,response_source,has_collect
juliet-cwe122-char-type-overrun-memcpy-01,1,google-gemini-2-5-flash,ok,25.989,5,2561,True,True,True,,True
juliet-cwe126-char-alloca-loop-01,1,google-gemini-2-5-flash,ok,19.074,5,2112,True,True,True,,True
juliet-cwe415-malloc-free-char-01,1,google-gemini-2-5-flash,ok,19.794,5,2088,True,True,True,,True
juliet-cwe416-malloc-free-char-01,1,google-gemini-2-5-flash,ok,21.56,5,2254,True,True,True,,True
man-overflow,1,google-gemini-2-5-flash,build_failed,0.0,,0,False,False,False,,False
ncompress-overflow,1,google-gemini-2-5-flash,ok,254.301,7,2806,True,True,True,,True
polymorph-overflow,1,google-gemini-2-5-flash,ok,31.673,6,3089,True,True,True,,True
bc-heap-overflow,1,google-gemini-3-1-flash-lite-preview,ok,14.21,7,1385,True,True,True,recovered_from_tool_output,True
berry-1,1,google-gemini-3-1-flash-lite-preview,ok,29.705,19,1129,True,True,True,recovered_from_tool_output,True
berry-2,1,google-gemini-3-1-flash-lite-preview,ok,157.401,100,0,False,False,False,,True
berry-3,1,google-gemini-3-1-flash-lite-preview,ok,111.434,100,0,False,False,False,,True
berry-4,1,google-gemini-3-1-flash-lite-preview,ok,150.751,100,0,False,False,False,,True
berry-5,1,google-gemini-3-1-flash-lite-preview,ok,19.899,12,1407,True,True,True,recovered_from_tool_output,True
man-overflow,1,google-gemini-3-1-flash-lite-preview,build_failed,0.0,,0,False,False,False,,False
ncompress-overflow,1,google-gemini-3-1-flash-lite-preview,ok,12.926,6,1507,True,True,True,recovered_from_tool_output,True
polymorph-overflow,1,google-gemini-3-1-flash-lite-preview,ok,32.515,12,1388,True,True,True,recovered_from_tool_output,True
bc-heap-overflow,1,meta-llama-llama-3-1-8b-instruct,ok,22.012,7,892,True,True,True,recovered_from_tool_output,True
crashbench-abo1,1,meta-llama-llama-3-1-8b-instruct,ok,15.959,3,544,True,True,True,recovered_from_tool_output,True
crashbench-abo2,1,meta-llama-llama-3-1-8b-instruct,ok,16.249,3,546,True,True,True,recovered_from_tool_output,True
crashbench-abo3,1,meta-llama-llama-3-1-8b-instruct,ok,16.888,3,589,True,True,True,recovered_from_tool_output,True
crashbench-abo5,1,meta-llama-llama-3-1-8b-instruct,ok,19.082,3,1345,True,True,True,recovered_from_tool_output,True
crashbench-abo7,1,meta-llama-llama-3-1-8b-instruct,ok,16.206,3,668,True,True,True,recovered_from_tool_output,True
crashbench-abo8,1,meta-llama-llama-3-1-8b-instruct,ok,16.414,3,984,True,True,True,recovered_from_tool_output,True
juliet-cwe121-char-type-overrun-memcpy-01,1,meta-llama-llama-3-1-8b-instruct,ok,14.634,3,768,True,True,True,recovered_from_tool_output,True
juliet-cwe122-char-type-overrun-memcpy-01,1,meta-llama-llama-3-1-8b-instruct,ok,15.205,3,900,True,True,True,recovered_from_tool_output,True
juliet-cwe126-char-alloca-loop-01,1,meta-llama-llama-3-1-8b-instruct,ok,15.375,3,636,True,True,True,recovered_from_tool_output,True
juliet-cwe415-malloc-free-char-01,1,meta-llama-llama-3-1-8b-instruct,ok,16.803,3,650,True,True,True,recovered_from_tool_output,True
juliet-cwe416-malloc-free-char-01,1,meta-llama-llama-3-1-8b-instruct,ok,16.495,3,707,True,True,True,recovered_from_tool_output,True
man-overflow,1,meta-llama-llama-3-1-8b-instruct,build_failed,0.0,,0,False,False,False,,False
ncompress-overflow,1,meta-llama-llama-3-1-8b-instruct,ok,13.665,3,0,False,False,False,,True
polymorph-overflow,1,meta-llama-llama-3-1-8b-instruct,ok,10.811,2,0,False,False,False,,True
bc-heap-overflow,1,nvidia-nemotron-3-nano-30b-a3b,ok,37.019,6,1925,True,True,True,recovered_from_tool_output,True
berry-1,1,nvidia-nemotron-3-nano-30b-a3b,timeout,601.459,,0,False,False,False,,False
berry-2,1,nvidia-nemotron-3-nano-30b-a3b,ok,266.861,17,974,True,True,True,recovered_from_tool_output,True
berry-3,1,nvidia-nemotron-3-nano-30b-a3b,timeout,601.532,,0,False,False,False,,False
berry-4,1,nvidia-nemotron-3-nano-30b-a3b,timeout,601.577,,0,False,False,False,,False
berry-5,1,nvidia-nemotron-3-nano-30b-a3b,timeout,601.609,,0,False,False,False,,False
crashbench-abo2,1,nvidia-nemotron-3-nano-30b-a3b,timeout,601.701,,0,False,False,False,,False
crashbench-abo3,1,nvidia-nemotron-3-nano-30b-a3b,timeout,601.702,,0,False,False,False,,False
crashbench-abo5,1,nvidia-nemotron-3-nano-30b-a3b,timeout,601.675,,0,False,False,False,,False
crashbench-abo7,1,nvidia-nemotron-3-nano-30b-a3b,timeout,601.685,,0,False,False,False,,False
man-overflow,1,nvidia-nemotron-3-nano-30b-a3b,build_failed,0.0,,0,False,False,False,,False
ncompress-overflow,1,nvidia-nemotron-3-nano-30b-a3b,timeout,9085.768,,0,False,False,False,,False
polymorph-overflow,1,nvidia-nemotron-3-nano-30b-a3b,timeout,9085.773,,0,False,False,False,,False
crashbench-abo1,1,openai-gpt-4o,ok,63.03,5,1255,True,True,True,,True
crashbench-abo2,1,openai-gpt-4o,ok,40.6,6,844,True,True,True,,True
crashbench-abo3,1,openai-gpt-4o,ok,14.738,6,961,True,True,True,recovered_from_tool_output,True
crashbench-abo5,1,openai-gpt-4o,ok,64.031,6,2180,True,True,True,recovered_from_tool_output_partial_prose,True
crashbench-abo7,1,openai-gpt-4o,ok,53.847,5,913,True,True,True,recovered_from_tool_output,True
crashbench-abo8,1,openai-gpt-4o,ok,47.797,5,955,True,True,True,recovered_from_tool_output,True
juliet-cwe121-char-type-overrun-memcpy-01,1,openai-gpt-4o,ok,36.385,6,1410,True,True,True,,True
juliet-cwe122-char-type-overrun-memcpy-01,1,openai-gpt-4o,ok,56.6,6,1006,True,True,True,recovered_from_tool_output,True
juliet-cwe126-char-alloca-loop-01,1,openai-gpt-4o,ok,32.34,6,934,True,True,True,recovered_from_tool_output,True
juliet-cwe415-malloc-free-char-01,1,openai-gpt-4o,ok,56.3,5,865,True,True,True,recovered_from_tool_output,True
juliet-cwe416-malloc-free-char-01,1,openai-gpt-4o,ok,29.71,5,878,True,True,True,recovered_from_tool_output,True
ncompress-overflow,1,openai-gpt-4o,ok,35.393,7,1220,True,True,True,recovered_from_tool_output,True
bc-heap-overflow,1,openai-gpt-5-5,ok,83.656,7,4650,True,True,True,recovered_from_tool_output_partial_prose,True
crashbench-abo3,1,openai-gpt-5-5,ok,41.345,6,1999,True,True,True,recovered_from_tool_output_partial_prose,True
man-overflow,1,openai-gpt-5-5,build_failed,0.0,,0,False,False,False,,False
ncompress-overflow,1,openai-gpt-5-5,ok,42.234,5,3686,True,True,True,recovered_from_tool_output_partial_prose,True
polymorph-overflow,1,openai-gpt-5-5,ok,60.242,5,4278,True,True,True,recovered_from_tool_output_partial_prose,True
berry-5,1,qwen-qwen3-30b-a3b-instruct-2507,ok,21.056,7,4929,True,True,True,recovered_from_tool_output_partial_prose,True
crashbench-abo3,1,qwen-qwen3-30b-a3b-instruct-2507,ok,15.925,5,2931,True,True,True,recovered_from_tool_output_partial_prose,True
crashbench-abo5,1,qwen-qwen3-30b-a3b-instruct-2507,ok,26.101,6,0,False,False,False,,True
juliet-cwe415-malloc-free-char-01,1,qwen-qwen3-30b-a3b-instruct-2507,ok,20.229,6,2090,True,True,True,recovered_from_tool_output_partial_prose,True
ncompress-overflow,1,qwen-qwen3-30b-a3b-instruct-2507,timeout,778.243,,0,False,False,False,,False
