panel,case,tier,model,source_sweep,source_cell,timeout,elapsed_s,bound
synthetic,double-free-errpath,1,openrouter/google/gemini-3.1-flash-lite-preview,xtier-t1,double-free-errpath__tier1__openrouter_google_gemini-3.1-flash-lite-preview__tier1_bash_only__ctx10__t1,600,10.54,false
synthetic,double-free-errpath,3,openrouter/google/gemini-3.1-flash-lite-preview,xtier-t3,double-free-errpath__tier3__openrouter_google_gemini-3.1-flash-lite-preview__tier3_gdb_only__ctx10__t1,600,19.27,false
synthetic,double-free-errpath,1,openrouter/qwen/qwen3-30b-a3b-instruct-2507,xtier-t1,double-free-errpath__tier1__openrouter_qwen_qwen3-30b-a3b-instruct-2507__tier1_bash_only__ctx10__t1,600,14.07,false
synthetic,double-free-errpath,3,openrouter/qwen/qwen3-30b-a3b-instruct-2507,xtier-t3,double-free-errpath__tier3__openrouter_qwen_qwen3-30b-a3b-instruct-2507__tier3_gdb_only__ctx10__t1,600,15.29,false
synthetic,double-free-errpath,1,openrouter/nvidia/nemotron-3-nano-30b-a3b,xtier-t1,double-free-errpath__tier1__openrouter_nvidia_nemotron-3-nano-30b-a3b__tier1_bash_only__ctx10__t1,600,63.68,false
synthetic,double-free-errpath,3,openrouter/nvidia/nemotron-3-nano-30b-a3b,xtier-t3,double-free-errpath__tier3__openrouter_nvidia_nemotron-3-nano-30b-a3b__tier3_gdb_only__ctx10__t1,600,83.08,false
synthetic,heap-overflow-csv,1,openrouter/openai/gpt-5.5,tier1-demo,heap-overflow-csv__tier1__openrouter_openai_gpt-5.5__tier1_bash_only__ctx10__t1,600,25.41,false
synthetic,heap-overflow-csv,3,openrouter/openai/gpt-5.5,full-synthetic-v1-stripped,heap-overflow-csv__tier3__openrouter_openai_gpt-5.5__tier3_gdb_only__ctx10__t1,600,78.03,false
synthetic,heap-overflow-csv,3,openrouter/google/gemini-3.1-flash-lite-preview,full-synthetic-v1-stripped,heap-overflow-csv__tier3__openrouter_google_gemini-3.1-flash-lite-preview__tier3_gdb_only__ctx10__t1,600,11.21,false
synthetic,heap-overflow-csv,1,openrouter/qwen/qwen3-30b-a3b-instruct-2507,tier1-demo,heap-overflow-csv__tier1__openrouter_qwen_qwen3-30b-a3b-instruct-2507__tier1_bash_only__ctx10__t1,600,33.42,false
synthetic,heap-overflow-csv,3,openrouter/qwen/qwen3-30b-a3b-instruct-2507,full-synthetic-v1-stripped,heap-overflow-csv__tier3__openrouter_qwen_qwen3-30b-a3b-instruct-2507__tier3_gdb_only__ctx10__t1,600,24.32,false
synthetic,heap-overflow-csv,3,openrouter/nvidia/nemotron-3-nano-30b-a3b,full-synthetic-v1-stripped,heap-overflow-csv__tier3__openrouter_nvidia_nemotron-3-nano-30b-a3b__tier3_gdb_only__ctx10__t1,600,37.48,false
synthetic,intoverflow-alloc,1,openrouter/openai/gpt-5.5,xtier-t1,intoverflow-alloc__tier1__openrouter_openai_gpt-5.5__tier1_bash_only__ctx10__t1,600,24.11,false
synthetic,intoverflow-alloc,3,openrouter/openai/gpt-5.5,xtier-t3,intoverflow-alloc__tier3__openrouter_openai_gpt-5.5__tier3_gdb_only__ctx10__t1,600,43.88,false
synthetic,intoverflow-alloc,1,openrouter/x-ai/grok-4,xtier-t1,intoverflow-alloc__tier1__openrouter_x-ai_grok-4__tier1_bash_only__ctx10__t1,600,95.24,false
synthetic,intoverflow-alloc,3,openrouter/x-ai/grok-4,xtier-t3,intoverflow-alloc__tier3__openrouter_x-ai_grok-4__tier3_gdb_only__ctx10__t1,600,109.82,false
synthetic,intoverflow-alloc,1,openrouter/anthropic/claude-sonnet-4.5,xtier-t1,intoverflow-alloc__tier1__openrouter_anthropic_claude-sonnet-4.5__tier1_bash_only__ctx10__t1,600,44.96,false
synthetic,intoverflow-alloc,3,openrouter/anthropic/claude-sonnet-4.5,xtier-t3,intoverflow-alloc__tier3__openrouter_anthropic_claude-sonnet-4.5__tier3_gdb_only__ctx10__t1,600,14.70,false
synthetic,intoverflow-alloc,1,openrouter/google/gemini-3.1-flash-lite-preview,xtier-t1,intoverflow-alloc__tier1__openrouter_google_gemini-3.1-flash-lite-preview__tier1_bash_only__ctx10__t1,600,15.10,false
synthetic,intoverflow-alloc,3,openrouter/google/gemini-3.1-flash-lite-preview,xtier-t3,intoverflow-alloc__tier3__openrouter_google_gemini-3.1-flash-lite-preview__tier3_gdb_only__ctx10__t1,600,31.28,false
synthetic,intoverflow-alloc,1,openrouter/qwen/qwen3-30b-a3b-instruct-2507,xtier-t1,intoverflow-alloc__tier1__openrouter_qwen_qwen3-30b-a3b-instruct-2507__tier1_bash_only__ctx10__t1,600,32.78,false
synthetic,intoverflow-alloc,3,openrouter/qwen/qwen3-30b-a3b-instruct-2507,xtier-t3,intoverflow-alloc__tier3__openrouter_qwen_qwen3-30b-a3b-instruct-2507__tier3_gdb_only__ctx10__t1,600,22.17,false
synthetic,intoverflow-alloc,1,openrouter/nvidia/nemotron-3-nano-30b-a3b,xtier-t1,intoverflow-alloc__tier1__openrouter_nvidia_nemotron-3-nano-30b-a3b__tier1_bash_only__ctx10__t1,600,23.88,false
synthetic,intoverflow-alloc,3,openrouter/nvidia/nemotron-3-nano-30b-a3b,xtier-t3,intoverflow-alloc__tier3__openrouter_nvidia_nemotron-3-nano-30b-a3b__tier3_gdb_only__ctx10__t1,600,52.44,false
synthetic,null-deref-env,1,openrouter/openai/gpt-5.5,tier1-demo,null-deref-env__tier1__openrouter_openai_gpt-5.5__tier1_bash_only__ctx10__t1,600,19.88,false
synthetic,null-deref-env,3,openrouter/openai/gpt-5.5,full-synthetic-v1-stripped,null-deref-env__tier3__openrouter_openai_gpt-5.5__tier3_gdb_only__ctx10__t1,600,31.34,false
synthetic,null-deref-env,3,openrouter/google/gemini-3.1-flash-lite-preview,full-synthetic-v1-stripped,null-deref-env__tier3__openrouter_google_gemini-3.1-flash-lite-preview__tier3_gdb_only__ctx10__t1,600,14.57,false
synthetic,null-deref-env,1,openrouter/qwen/qwen3-30b-a3b-instruct-2507,tier1-demo,null-deref-env__tier1__openrouter_qwen_qwen3-30b-a3b-instruct-2507__tier1_bash_only__ctx10__t1,600,14.94,false
synthetic,null-deref-env,3,openrouter/qwen/qwen3-30b-a3b-instruct-2507,full-synthetic-v1-stripped,null-deref-env__tier3__openrouter_qwen_qwen3-30b-a3b-instruct-2507__tier3_gdb_only__ctx10__t1,600,29.94,false
synthetic,null-deref-env,3,openrouter/nvidia/nemotron-3-nano-30b-a3b,full-synthetic-v1-stripped,null-deref-env__tier3__openrouter_nvidia_nemotron-3-nano-30b-a3b__tier3_gdb_only__ctx10__t1,600,22.10,false
synthetic,off-by-one-crc,1,openrouter/openai/gpt-5.5,xtier-t1,off-by-one-crc__tier1__openrouter_openai_gpt-5.5__tier1_bash_only__ctx10__t1,600,37.20,false
synthetic,off-by-one-crc,3,openrouter/openai/gpt-5.5,xtier-t3,off-by-one-crc__tier3__openrouter_openai_gpt-5.5__tier3_gdb_only__ctx10__t1,600,38.66,false
synthetic,off-by-one-crc,1,openrouter/x-ai/grok-4,xtier-t1,off-by-one-crc__tier1__openrouter_x-ai_grok-4__tier1_bash_only__ctx10__t1,600,55.69,false
synthetic,off-by-one-crc,3,openrouter/x-ai/grok-4,xtier-t3,off-by-one-crc__tier3__openrouter_x-ai_grok-4__tier3_gdb_only__ctx10__t1,600,36.78,false
synthetic,off-by-one-crc,1,openrouter/anthropic/claude-sonnet-4.5,xtier-t1,off-by-one-crc__tier1__openrouter_anthropic_claude-sonnet-4.5__tier1_bash_only__ctx10__t1,600,21.62,false
synthetic,off-by-one-crc,3,openrouter/anthropic/claude-sonnet-4.5,xtier-t3,off-by-one-crc__tier3__openrouter_anthropic_claude-sonnet-4.5__tier3_gdb_only__ctx10__t1,600,10.24,false
synthetic,off-by-one-crc,1,openrouter/google/gemini-3.1-flash-lite-preview,xtier-t1,off-by-one-crc__tier1__openrouter_google_gemini-3.1-flash-lite-preview__tier1_bash_only__ctx10__t1,600,8.75,false
synthetic,off-by-one-crc,3,openrouter/google/gemini-3.1-flash-lite-preview,xtier-t3,off-by-one-crc__tier3__openrouter_google_gemini-3.1-flash-lite-preview__tier3_gdb_only__ctx10__t1,600,8.89,false
synthetic,off-by-one-crc,1,openrouter/qwen/qwen3-30b-a3b-instruct-2507,xtier-t1,off-by-one-crc__tier1__openrouter_qwen_qwen3-30b-a3b-instruct-2507__tier1_bash_only__ctx10__t1,600,18.13,false
synthetic,off-by-one-crc,3,openrouter/qwen/qwen3-30b-a3b-instruct-2507,xtier-t3,off-by-one-crc__tier3__openrouter_qwen_qwen3-30b-a3b-instruct-2507__tier3_gdb_only__ctx10__t1,600,18.69,false
synthetic,off-by-one-crc,1,openrouter/nvidia/nemotron-3-nano-30b-a3b,xtier-t1,off-by-one-crc__tier1__openrouter_nvidia_nemotron-3-nano-30b-a3b__tier1_bash_only__ctx10__t1,600,283.38,false
synthetic,off-by-one-crc,3,openrouter/nvidia/nemotron-3-nano-30b-a3b,xtier-t3,off-by-one-crc__tier3__openrouter_nvidia_nemotron-3-nano-30b-a3b__tier3_gdb_only__ctx10__t1,600,28.53,false
synthetic,shift-int-overflow,3,openrouter/openai/gpt-5.5,new-cases,shift-int-overflow__tier3__openrouter_openai_gpt-5.5__tier3_gdb_only__ctx10__t1,600,51.85,false
synthetic,shift-int-overflow,3,openrouter/google/gemini-3.1-flash-lite-preview,new-cases,shift-int-overflow__tier3__openrouter_google_gemini-3.1-flash-lite-preview__tier3_gdb_only__ctx10__t1,600,83.58,false
synthetic,shift-int-overflow,3,openrouter/qwen/qwen3-30b-a3b-instruct-2507,new-cases,shift-int-overflow__tier3__openrouter_qwen_qwen3-30b-a3b-instruct-2507__tier3_gdb_only__ctx10__t1,600,65.80,false
synthetic,shift-int-overflow,3,openrouter/nvidia/nemotron-3-nano-30b-a3b,new-cases,shift-int-overflow__tier3__openrouter_nvidia_nemotron-3-nano-30b-a3b__tier3_gdb_only__ctx10__t1,600,25.92,false
synthetic,signed-unsigned-loop,1,openrouter/openai/gpt-5.5,tier1-demo,signed-unsigned-loop__tier1__openrouter_openai_gpt-5.5__tier1_bash_only__ctx10__t1,600,122.95,false
synthetic,signed-unsigned-loop,3,openrouter/openai/gpt-5.5,full-synthetic-v1-stripped,signed-unsigned-loop__tier3__openrouter_openai_gpt-5.5__tier3_gdb_only__ctx10__t1,600,69.91,false
synthetic,signed-unsigned-loop,3,openrouter/google/gemini-3.1-flash-lite-preview,full-synthetic-v1-stripped,signed-unsigned-loop__tier3__openrouter_google_gemini-3.1-flash-lite-preview__tier3_gdb_only__ctx10__t1,600,16.31,false
synthetic,signed-unsigned-loop,1,openrouter/qwen/qwen3-30b-a3b-instruct-2507,tier1-demo,signed-unsigned-loop__tier1__openrouter_qwen_qwen3-30b-a3b-instruct-2507__tier1_bash_only__ctx10__t1,600,59.75,false
synthetic,signed-unsigned-loop,3,openrouter/qwen/qwen3-30b-a3b-instruct-2507,full-synthetic-v1-stripped,signed-unsigned-loop__tier3__openrouter_qwen_qwen3-30b-a3b-instruct-2507__tier3_gdb_only__ctx10__t1,600,27.85,false
synthetic,signed-unsigned-loop,3,openrouter/nvidia/nemotron-3-nano-30b-a3b,full-synthetic-v1-stripped,signed-unsigned-loop__tier3__openrouter_nvidia_nemotron-3-nano-30b-a3b__tier3_gdb_only__ctx10__t1,600,40.84,false
synthetic,stack-buffer-overflow-strcpy,3,openrouter/openai/gpt-5.5,new-cases,stack-buffer-overflow-strcpy__tier3__openrouter_openai_gpt-5.5__tier3_gdb_only__ctx10__t1,600,41.57,false
synthetic,stack-buffer-overflow-strcpy,3,openrouter/google/gemini-3.1-flash-lite-preview,new-cases,stack-buffer-overflow-strcpy__tier3__openrouter_google_gemini-3.1-flash-lite-preview__tier3_gdb_only__ctx10__t1,600,15.54,false
synthetic,stack-buffer-overflow-strcpy,3,openrouter/qwen/qwen3-30b-a3b-instruct-2507,new-cases,stack-buffer-overflow-strcpy__tier3__openrouter_qwen_qwen3-30b-a3b-instruct-2507__tier3_gdb_only__ctx10__t1,600,50.41,false
synthetic,stack-buffer-overflow-strcpy,3,openrouter/nvidia/nemotron-3-nano-30b-a3b,new-cases,stack-buffer-overflow-strcpy__tier3__openrouter_nvidia_nemotron-3-nano-30b-a3b__tier3_gdb_only__ctx10__t1,600,23.95,false
synthetic,test-deep-recursion,3,openrouter/openai/gpt-5.5,paper-cases-fix,test-deep-recursion__tier3__openrouter_openai_gpt-5.5__tier3_gdb_only__ctx10__t1,600,36.52,false
synthetic,test-deep-recursion,3,openrouter/google/gemini-3.1-flash-lite-preview,paper-cases-fix,test-deep-recursion__tier3__openrouter_google_gemini-3.1-flash-lite-preview__tier3_gdb_only__ctx10__t1,600,21.07,false
synthetic,test-deep-recursion,3,openrouter/qwen/qwen3-30b-a3b-instruct-2507,paper-cases-fix,test-deep-recursion__tier3__openrouter_qwen_qwen3-30b-a3b-instruct-2507__tier3_gdb_only__ctx10__t1,600,27.72,false
synthetic,test-deep-recursion,3,openrouter/nvidia/nemotron-3-nano-30b-a3b,paper-cases-fix,test-deep-recursion__tier3__openrouter_nvidia_nemotron-3-nano-30b-a3b__tier3_gdb_only__ctx10__t1,600,85.33,false
synthetic,test-definition-likely,3,openrouter/openai/gpt-5.5,paper-cases-fix,test-definition-likely__tier3__openrouter_openai_gpt-5.5__tier3_gdb_only__ctx10__t1,600,37.60,false
synthetic,test-definition-likely,3,openrouter/google/gemini-3.1-flash-lite-preview,paper-cases-fix,test-definition-likely__tier3__openrouter_google_gemini-3.1-flash-lite-preview__tier3_gdb_only__ctx10__t1,600,28.70,false
synthetic,test-definition-likely,3,openrouter/nvidia/nemotron-3-nano-30b-a3b,paper-cases-fix,test-definition-likely__tier3__openrouter_nvidia_nemotron-3-nano-30b-a3b__tier3_gdb_only__ctx10__t1,600,129.24,false
synthetic,test-failed-assert,3,openrouter/openai/gpt-5.5,paper-cases,test-failed-assert__tier3__openrouter_openai_gpt-5.5__tier3_gdb_only__ctx10__t1,600,46.37,false
synthetic,test-failed-assert,3,openrouter/google/gemini-3.1-flash-lite-preview,paper-cases,test-failed-assert__tier3__openrouter_google_gemini-3.1-flash-lite-preview__tier3_gdb_only__ctx10__t1,600,17.62,false
synthetic,test-failed-assert,3,openrouter/qwen/qwen3-30b-a3b-instruct-2507,paper-cases,test-failed-assert__tier3__openrouter_qwen_qwen3-30b-a3b-instruct-2507__tier3_gdb_only__ctx10__t1,600,21.47,false
synthetic,test-failed-assert,3,openrouter/nvidia/nemotron-3-nano-30b-a3b,paper-cases,test-failed-assert__tier3__openrouter_nvidia_nemotron-3-nano-30b-a3b__tier3_gdb_only__ctx10__t1,600,35.92,false
synthetic,test-out-of-bounds-read,3,openrouter/openai/gpt-5.5,paper-cases,test-out-of-bounds-read__tier3__openrouter_openai_gpt-5.5__tier3_gdb_only__ctx10__t1,600,33.42,false
synthetic,test-out-of-bounds-read,3,openrouter/google/gemini-3.1-flash-lite-preview,paper-cases,test-out-of-bounds-read__tier3__openrouter_google_gemini-3.1-flash-lite-preview__tier3_gdb_only__ctx10__t1,600,17.46,false
synthetic,test-out-of-bounds-read,3,openrouter/qwen/qwen3-30b-a3b-instruct-2507,paper-cases,test-out-of-bounds-read__tier3__openrouter_qwen_qwen3-30b-a3b-instruct-2507__tier3_gdb_only__ctx10__t1,600,29.51,false
synthetic,test-out-of-bounds-read,3,openrouter/nvidia/nemotron-3-nano-30b-a3b,paper-cases,test-out-of-bounds-read__tier3__openrouter_nvidia_nemotron-3-nano-30b-a3b__tier3_gdb_only__ctx10__t1,600,34.91,false
synthetic,test-overflow,3,openrouter/openai/gpt-5.5,paper-cases,test-overflow__tier3__openrouter_openai_gpt-5.5__tier3_gdb_only__ctx10__t1,600,88.43,false
synthetic,test-overflow,3,openrouter/google/gemini-3.1-flash-lite-preview,paper-cases,test-overflow__tier3__openrouter_google_gemini-3.1-flash-lite-preview__tier3_gdb_only__ctx10__t1,600,28.10,false
synthetic,test-overflow,3,openrouter/qwen/qwen3-30b-a3b-instruct-2507,paper-cases,test-overflow__tier3__openrouter_qwen_qwen3-30b-a3b-instruct-2507__tier3_gdb_only__ctx10__t1,600,16.94,false
synthetic,test-overflow,3,openrouter/nvidia/nemotron-3-nano-30b-a3b,paper-cases,test-overflow__tier3__openrouter_nvidia_nemotron-3-nano-30b-a3b__tier3_gdb_only__ctx10__t1,600,23.71,false
synthetic,test-stack-overflow,3,openrouter/openai/gpt-5.5,paper-cases,test-stack-overflow__tier3__openrouter_openai_gpt-5.5__tier3_gdb_only__ctx10__t1,600,38.91,false
synthetic,test-stack-overflow,3,openrouter/google/gemini-3.1-flash-lite-preview,paper-cases,test-stack-overflow__tier3__openrouter_google_gemini-3.1-flash-lite-preview__tier3_gdb_only__ctx10__t1,600,13.49,false
synthetic,test-stack-overflow,3,openrouter/qwen/qwen3-30b-a3b-instruct-2507,paper-cases,test-stack-overflow__tier3__openrouter_qwen_qwen3-30b-a3b-instruct-2507__tier3_gdb_only__ctx10__t1,600,26.63,false
synthetic,test-stack-overflow,3,openrouter/nvidia/nemotron-3-nano-30b-a3b,paper-cases,test-stack-overflow__tier3__openrouter_nvidia_nemotron-3-nano-30b-a3b__tier3_gdb_only__ctx10__t1,600,58.97,false
synthetic,test-use-after-free,3,openrouter/openai/gpt-5.5,paper-cases,test-use-after-free__tier3__openrouter_openai_gpt-5.5__tier3_gdb_only__ctx10__t1,600,34.53,false
synthetic,test-use-after-free,3,openrouter/google/gemini-3.1-flash-lite-preview,paper-cases,test-use-after-free__tier3__openrouter_google_gemini-3.1-flash-lite-preview__tier3_gdb_only__ctx10__t1,600,26.53,false
synthetic,test-use-after-free,3,openrouter/qwen/qwen3-30b-a3b-instruct-2507,paper-cases,test-use-after-free__tier3__openrouter_qwen_qwen3-30b-a3b-instruct-2507__tier3_gdb_only__ctx10__t1,600,20.10,false
synthetic,test-use-after-free,3,openrouter/nvidia/nemotron-3-nano-30b-a3b,paper-cases,test-use-after-free__tier3__openrouter_nvidia_nemotron-3-nano-30b-a3b__tier3_gdb_only__ctx10__t1,600,28.89,false
synthetic,uaf-linked-list,1,openrouter/openai/gpt-5.5,xtier-t1,uaf-linked-list__tier1__openrouter_openai_gpt-5.5__tier1_bash_only__ctx10__t1,600,21.19,false
synthetic,uaf-linked-list,3,openrouter/openai/gpt-5.5,xtier-t3,uaf-linked-list__tier3__openrouter_openai_gpt-5.5__tier3_gdb_only__ctx10__t1,600,44.83,false
synthetic,uaf-linked-list,1,openrouter/x-ai/grok-4,xtier-t1,uaf-linked-list__tier1__openrouter_x-ai_grok-4__tier1_bash_only__ctx10__t1,600,67.94,false
synthetic,uaf-linked-list,3,openrouter/x-ai/grok-4,xtier-t3,uaf-linked-list__tier3__openrouter_x-ai_grok-4__tier3_gdb_only__ctx10__t1,600,61.43,false
synthetic,uaf-linked-list,1,openrouter/anthropic/claude-sonnet-4.5,xtier-t1,uaf-linked-list__tier1__openrouter_anthropic_claude-sonnet-4.5__tier1_bash_only__ctx10__t1,600,54.98,false
synthetic,uaf-linked-list,3,openrouter/anthropic/claude-sonnet-4.5,xtier-t3,uaf-linked-list__tier3__openrouter_anthropic_claude-sonnet-4.5__tier3_gdb_only__ctx10__t1,600,9.17,false
synthetic,uaf-linked-list,1,openrouter/google/gemini-3.1-flash-lite-preview,xtier-t1,uaf-linked-list__tier1__openrouter_google_gemini-3.1-flash-lite-preview__tier1_bash_only__ctx10__t1,600,7.98,false
synthetic,uaf-linked-list,3,openrouter/google/gemini-3.1-flash-lite-preview,xtier-t3,uaf-linked-list__tier3__openrouter_google_gemini-3.1-flash-lite-preview__tier3_gdb_only__ctx10__t1,600,8.90,false
synthetic,uaf-linked-list,1,openrouter/qwen/qwen3-30b-a3b-instruct-2507,xtier-t1,uaf-linked-list__tier1__openrouter_qwen_qwen3-30b-a3b-instruct-2507__tier1_bash_only__ctx10__t1,600,20.23,false
synthetic,uaf-linked-list,3,openrouter/qwen/qwen3-30b-a3b-instruct-2507,xtier-t3,uaf-linked-list__tier3__openrouter_qwen_qwen3-30b-a3b-instruct-2507__tier3_gdb_only__ctx10__t1,600,24.29,false
synthetic,uaf-linked-list,1,openrouter/nvidia/nemotron-3-nano-30b-a3b,xtier-t1,uaf-linked-list__tier1__openrouter_nvidia_nemotron-3-nano-30b-a3b__tier1_bash_only__ctx10__t1,600,182.91,false
synthetic,uaf-linked-list,3,openrouter/nvidia/nemotron-3-nano-30b-a3b,xtier-t3,uaf-linked-list__tier3__openrouter_nvidia_nemotron-3-nano-30b-a3b__tier3_gdb_only__ctx10__t1,600,63.57,false
synthetic,vector-iter-after-pushback,1,openrouter/openai/gpt-5.5,t1-validation,vector-iter-after-pushback__tier1__openrouter_openai_gpt-5.5__tier1_bash_only__ctx10__t1,600,60.58,false
synthetic,vector-iter-after-pushback,3,openrouter/openai/gpt-5.5,new-cases,vector-iter-after-pushback__tier3__openrouter_openai_gpt-5.5__tier3_gdb_only__ctx10__t1,600,45.31,false
synthetic,vector-iter-after-pushback,3,openrouter/google/gemini-3.1-flash-lite-preview,new-cases,vector-iter-after-pushback__tier3__openrouter_google_gemini-3.1-flash-lite-preview__tier3_gdb_only__ctx10__t1,600,12.75,false
synthetic,vector-iter-after-pushback,1,openrouter/qwen/qwen3-30b-a3b-instruct-2507,t1-validation,vector-iter-after-pushback__tier1__openrouter_qwen_qwen3-30b-a3b-instruct-2507__tier1_bash_only__ctx10__t1,600,13.84,false
synthetic,vector-iter-after-pushback,3,openrouter/qwen/qwen3-30b-a3b-instruct-2507,new-cases,vector-iter-after-pushback__tier3__openrouter_qwen_qwen3-30b-a3b-instruct-2507__tier3_gdb_only__ctx10__t1,600,41.92,false
synthetic,vector-iter-after-pushback,3,openrouter/nvidia/nemotron-3-nano-30b-a3b,new-cases,vector-iter-after-pushback__tier3__openrouter_nvidia_nemotron-3-nano-30b-a3b__tier3_gdb_only__ctx10__t1,600,25.12,false
realworld,bc-heap-overflow,1,openrouter/openai/gpt-4o,bugbench-t1,bc-heap-overflow__tier1__openrouter_openai_gpt-4o__tier1_bash_only__ctx10__t1,240,29.61,false
realworld,bc-heap-overflow,3,openrouter/openai/gpt-4o,bugbench-t3,bc-heap-overflow__tier3__openrouter_openai_gpt-4o__tier3_gdb_only__ctx10__t1,240,13.25,false
realworld,bc-heap-overflow,1,openrouter/qwen/qwen3-30b-a3b-instruct-2507,bugbench-t1,bc-heap-overflow__tier1__openrouter_qwen_qwen3-30b-a3b-instruct-2507__tier1_bash_only__ctx10__t1,240,149.23,false
realworld,bc-heap-overflow,3,openrouter/qwen/qwen3-30b-a3b-instruct-2507,bugbench-t3,bc-heap-overflow__tier3__openrouter_qwen_qwen3-30b-a3b-instruct-2507__tier3_gdb_only__ctx10__t1,240,315.05,true
realworld,bc-heap-overflow,3,openrouter/nvidia/nemotron-3-nano-30b-a3b,bugbench-t3,bc-heap-overflow__tier3__openrouter_nvidia_nemotron-3-nano-30b-a3b__tier3_gdb_only__ctx10__t1,240,35.40,false
realworld,bc-heap-overflow,3,openrouter/meta-llama/llama-3.1-8b-instruct,bugbench-t3,bc-heap-overflow__tier3__openrouter_meta-llama_llama-3.1-8b-instruct__tier3_gdb_only__ctx10__t1,240,6.80,false
realworld,berry-1,1,openrouter/openai/gpt-5.5,berry_consolidated,berry-1__tier1__openrouter_openai_gpt-5.5__tier1_bash_only__ctx10__t1,600,43.86,false
realworld,berry-1,1,openrouter/openai/gpt-4o,berry_consolidated,berry-1__tier1__openrouter_openai_gpt-4o__tier1_bash_only__ctx10__t1,600,79.32,false
realworld,berry-1,3,openrouter/openai/gpt-4o,berry_consolidated,berry-1__tier3__openrouter_openai_gpt-4o__tier3_gdb_only__ctx10__t1,600,18.41,false
realworld,berry-1,1,openrouter/google/gemini-2.5-flash,berry_consolidated,berry-1__tier1__openrouter_google_gemini-2.5-flash__tier1_bash_only__ctx10__t1,600,13.09,false
realworld,berry-1,1,openrouter/qwen/qwen3-30b-a3b-instruct-2507,berry_consolidated,berry-1__tier1__openrouter_qwen_qwen3-30b-a3b-instruct-2507__tier1_bash_only__ctx10__t1,600,48.19,false
realworld,berry-1,3,openrouter/qwen/qwen3-30b-a3b-instruct-2507,berry_consolidated,berry-1__tier3__openrouter_qwen_qwen3-30b-a3b-instruct-2507__tier3_gdb_only__ctx10__t1,600,57.70,false
realworld,berry-1,1,openrouter/nvidia/nemotron-3-nano-30b-a3b,berry_consolidated,berry-1__tier1__openrouter_nvidia_nemotron-3-nano-30b-a3b__tier1_bash_only__ctx10__t1,600,600.11,true
realworld,berry-1,3,openrouter/nvidia/nemotron-3-nano-30b-a3b,overnight-tier1-20260501_011643,berry-1__tier3__openrouter_nvidia_nemotron-3-nano-30b-a3b__tier3_gdb_only__ctx10__t1,600,225.88,false
realworld,berry-1,1,openrouter/meta-llama/llama-3.1-8b-instruct,berry_consolidated,berry-1__tier1__openrouter_meta-llama_llama-3.1-8b-instruct__tier1_bash_only__ctx10__t1,600,14.39,false
realworld,berry-1,3,openrouter/meta-llama/llama-3.1-8b-instruct,overnight-tier1-20260501_011643,berry-1__tier3__openrouter_meta-llama_llama-3.1-8b-instruct__tier3_gdb_only__ctx10__t1,600,16.61,false
realworld,berry-2,1,openrouter/openai/gpt-5.5,berry_consolidated,berry-2__tier1__openrouter_openai_gpt-5.5__tier1_bash_only__ctx10__t1,600,107.96,false
realworld,berry-2,1,openrouter/openai/gpt-4o,berry_consolidated,berry-2__tier1__openrouter_openai_gpt-4o__tier1_bash_only__ctx10__t1,600,25.08,false
